"ID","SET","curated","carlisle","parsedP","status"
"IA-1865a5fe72","development",0.142,0.131012583121133,1,"ok"
"IA-5f99ef001c","development",0.9353,0.913619114371284,NA,"validation failed"
"IA-9189d6a6f1","development",0.4177,0.485732457385229,0.4794,"ok"
"IA-4b7b2d79b1","holdout",0.799,0.766810700874895,0.9392,"ok"
"IA-825654011e","development",0.6356,0.605919903900648,0.8495,"ok"
"IA-2fac8af9fb","development",0.755,0.765292544548671,0.3519,"ok"
"IA-d1626a376b","holdout",0.9056,0.895099749378598,NA,"no summary p"
"IA-06dfb3d7c9","holdout",0.6473,0.624970593515225,NA,"validation failed"
"IA-95649f5168","development",0.6935,0.642013201318654,0.9983,"ok"
"IA-5422f54270","holdout",0.1588,0.18976417007673,1,"ok"
"IA-5096fbd27d","development",0.9436,0.945496250886033,0.586,"ok"
"IA-4239d723eb","development",0.1334,0.124334527129952,NA,"validation failed"
"IA-3e46c90302","development",0.03756,0.0371607072190281,NA,"validation failed"
"IA-ba225104f6","development",0.1668,0.201013905887729,0.1081,"ok"
"IA-2cf77a6c1f","holdout",0.9543,0.948344410759058,0.9317,"ok"
"IA-f12e77b45c","development",0.8188,0.717201349432141,0.6189,"ok"
"IA-c2c93d2086","development",0.1145,0.0955111006348729,0.1321,"ok"
"IA-d9882166b1","development",0.261,0.2729754472626,0.1573,"ok"
"IA-a642ea8218","development",0.7222,0.703493591808489,0.5282,"ok"
"IA-2cae469d68","development",0.9834,0.967174520334362,NA,"validation failed"
"IA-23bd7cb1eb","development",0.2905,0.286805594146916,0.2631,"ok"
"IA-2e29f7fc7c","development",0.6637,0.636148280591382,0.688,"ok"
"IA-389a6e6b82","development",0.8785,0.862328727973381,NA,"no summary p"
"IA-d6452e2a95","development",0.7776,0.778377801316968,0.8185,"ok"
"IA-890c63e7d8","development",0.813,0.786078272808859,NA,"no summary p"
"IA-c1121a15a8","holdout",0.9292,0.916014039509678,NA,"validation failed"
"IA-17256a41b4","development",0.2465,0.232146019541729,0.1626,"ok"
"IA-747cc8305e","development",0.04002,0.0237908078933502,NA,"validation failed"
"IA-3b6fe0adb2","holdout",0.1341,0.153598267347552,0.331,"ok"
"IA-f8b5016b85","holdout",0.424,0.423816234261251,NA,"validation failed"
"IA-cea03a82f7","holdout",0.2376,0.231585505292433,0.2174,"ok"
"IA-17a4ee8f54","development",0.1443,0.173360014751866,0.2346,"ok"
"IA-76132a2ea0","development",0.5791,0.468243866935462,NA,"validation failed"
"IA-2b34d227bd","development",0.1118,0.112490853719461,0.1417,"ok"
"IA-50d6088b57","development",0.747,0.736713416124196,0.7531,"ok"
"IA-83c0935f87","development",0.7329,0.747871123678356,NA,"no summary p"
"IA-13c3cbcde6","development",0.07299,0.151342,NA,"validation failed"
"IA-a38042f326","holdout",0.6209,0.602913746222977,1,"ok"
"IA-b034ec1e8e","development",0.003119,0.00351446123219501,0.01381,"ok"
"IA-17194ab714","development",0.3996,0.40747064984935,0.8766,"ok"
"IA-faa389bf02","development",0.0002347,0.000187243586513008,NA,"validation failed"
"IA-d6d9fcdff8","development",0.1951,0.161675008597628,NA,"validation failed"
