"PDF","PMID","OUTCOME","COMMENTS","PAGE","LAYOUT","ARMS","ARMS_WITH_N","LINES","VARIABLES","CONTINUOUS","SKIPPED","SECONDS"
"Anaesthesia/2003/1.2.pdf",NA,"successfully parsed","Table page 17 (columns layout); 2 arm(s), 2 with N; 20 table lines -> 10 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 3.1 s",17,"columns",2,2,20,10,0,4,3.11
"Anaesthesia/2003/10.1.pdf",NA,"successfully parsed","Table page 8 (columns layout); 4 arm(s), 2 with N; 14 table lines -> 5 variables (3 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.8 s",8,"columns",4,2,14,5,3,3,1.83
"Anaesthesia/2003/11.1.pdf",NA,"successfully parsed","Table page 12 (single layout); 2 arm(s), 2 with N; 26 table lines -> 14 variables (14 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.7 s",12,"single",2,2,26,14,14,3,1.67
"Anaesthesia/2003/2.4.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 2 with N; 19 table lines -> 10 variables (0 continuous rows); 15 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"columns",2,2,19,10,0,15,1.09
"Anaesthesia/2003/2.5.pdf",NA,"successfully parsed","Table page 18 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (2 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 2.0 s",18,"columns",2,2,6,3,2,1,2
"Anaesthesia/2003/3.2.pdf",NA,"successfully parsed","Table page 8 (single layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (0 continuous rows); 9 line(s) skipped as unusable; heuristic engine, 1.9 s",8,"single",2,2,6,3,0,9,1.89
"Anaesthesia/2003/4.1.pdf",NA,"successfully parsed","Table page 6 (single layout); 2 arm(s), 0 with N; 21 table lines -> 20 variables (20 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 2.1 s",6,"single",2,0,21,20,20,4,2.14
"Anaesthesia/2003/5.3.pdf",NA,"successfully parsed","Table page 2 (columns layout); 1 arm(s), 0 with N; 16 table lines -> 16 variables (16 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.1 s",2,"columns",1,0,16,16,16,2,1.07
"Anaesthesia/2003/7.2.pdf",NA,"successfully parsed","Table page 18 (columns layout); 1 arm(s), 1 with N; 6 table lines -> 6 variables (6 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 2.4 s",18,"columns",1,1,6,6,6,3,2.44
"Anaesthesia/2003/8.1.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2003/8.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.76
