N400, both arms printed 40%/60%; exact best/worst: 0.2265711 0.02870461 
          seed  trueBest  trueWorst selectedTrue shortfall     pBest     pWorst
320,480      1 0.2265711 0.02870461    0.2265711         0 0.2258637 0.02727364
320,4801     2 0.2265711 0.02870461    0.2265711         0 0.2282886 0.02822359
320,4802     3 0.2265711 0.02870461    0.2265711         0 0.2306385 0.02814859
320,4803     4 0.2265711 0.02870461    0.2265711         0 0.2319384 0.02842358
320,4804     5 0.2265711 0.02870461    0.2265711         0 0.2274136 0.02734863
320,4805     6 0.2265711 0.02870461    0.2265711         0 0.2281136 0.02834858
320,4806     7 0.2265711 0.02870461    0.2265711         0 0.2271636 0.02769862
320,4807     8 0.2265711 0.02870461    0.2265711         0 0.2285636 0.02799860
320,4808     9 0.2265711 0.02870461    0.2265711         0 0.2282136 0.02787361
320,4809    10 0.2265711 0.02870461    0.2265711         0 0.2299135 0.02802360
320,48010   11 0.2265711 0.02870461    0.2265711         0 0.2302385 0.02737363
320,48011   12 0.2265711 0.02870461    0.2265711         0 0.2246638 0.02782361
320,48012   13 0.2265711 0.02870461    0.2265711         0 0.2223139 0.02789861
320,48013   14 0.2265711 0.02870461    0.2265711         0 0.2291385 0.02867357
320,48014   15 0.2265711 0.02870461    0.2265711         0 0.2273886 0.02734863
320,48015   16 0.2265711 0.02870461    0.2265711         0 0.2223139 0.02687366
320,48016   17 0.2265711 0.02870461    0.2265711         0 0.2230888 0.02794860
320,48017   18 0.2265711 0.02870461    0.2265711         0 0.2273636 0.02729864
320,48018   19 0.2265711 0.02870461    0.2265711         0 0.2305135 0.02884856
320,48019   20 0.2265711 0.02870461    0.2265711         0 0.2247388 0.02737363
320,48020   21 0.2265711 0.02870461    0.2265711         0 0.2294885 0.02767362
320,48021   22 0.2265711 0.02870461    0.2265711         0 0.2285636 0.02807360
320,48022   23 0.2265711 0.02870461    0.2265711         0 0.2292635 0.02814859
320,48023   24 0.2265711 0.02870461    0.2265711         0 0.2303385 0.02852357
320,48024   25 0.2265711 0.02870461    0.2265711         0 0.2263887 0.02787361
320,48025   26 0.2265711 0.02870461    0.2265711         0 0.2279886 0.02769862
320,48026   27 0.2265711 0.02870461    0.2265711         0 0.2273636 0.02752362
320,48027   28 0.2265711 0.02870461    0.2265711         0 0.2249638 0.02862357
320,48028   29 0.2265711 0.02870461    0.2265711         0 0.2230638 0.02657367
320,48029   30 0.2265711 0.02870461    0.2265711         0 0.2256887 0.02762362
320,48030   31 0.2265711 0.02870461    0.2265711         0 0.2238888 0.02707365
320,48031   32 0.2265711 0.02870461    0.2265711         0 0.2253137 0.02757362
320,48032   33 0.2265711 0.02870461    0.2265711         0 0.2271636 0.02792360
320,48033   34 0.2265711 0.02870461    0.2265711         0 0.2240388 0.02689866
320,48034   35 0.2265711 0.02870461    0.2265711         0 0.2279136 0.02704865
320,48035   36 0.2265711 0.02870461    0.2265711         0 0.2282636 0.02744863
320,48036   37 0.2265711 0.02870461    0.2265711         0 0.2288886 0.02697365
320,48037   38 0.2265711 0.02870461    0.2265711         0 0.2340133 0.02774861
320,48038   39 0.2265711 0.02870461    0.2265711         0 0.2301385 0.02814859
320,48039   40 0.2265711 0.02870461    0.2265711         0 0.2250137 0.02747363
320,48040   41 0.2265711 0.02870461    0.2265711         0 0.2253137 0.02742363
320,48041   42 0.2265711 0.02870461    0.2265711         0 0.2265387 0.02854857
320,48042   43 0.2265711 0.02870461    0.2265711         0 0.2310134 0.02839858
320,48043   44 0.2265711 0.02870461    0.2265711         0 0.2264137 0.02667367
320,48044   45 0.2265711 0.02870461    0.2265711         0 0.2270136 0.02852357
320,48045   46 0.2265711 0.02870461    0.2265711         0 0.2237388 0.02742363
320,48046   47 0.2265711 0.02870461    0.2265711         0 0.2260387 0.02749863
320,48047   48 0.2265711 0.02870461    0.2265711         0 0.2272886 0.02877356
320,48048   49 0.2265711 0.02870461    0.2265711         0 0.2226389 0.02684866
320,48049   50 0.2265711 0.02870461    0.2265711         0 0.2244638 0.02704865
320,48050   51 0.2265711 0.02870461    0.2265711         0 0.2257887 0.02794860
320,48051   52 0.2265711 0.02870461    0.2265711         0 0.2242388 0.02779861
320,48052   53 0.2265711 0.02870461    0.2265711         0 0.2229139 0.02784861
320,48053   54 0.2265711 0.02870461    0.2265711         0 0.2280886 0.02727364
320,48054   55 0.2265711 0.02870461    0.2265711         0 0.2284636 0.02782361
320,48055   56 0.2265711 0.02870461    0.2265711         0 0.2264887 0.02849858
320,48056   57 0.2265711 0.02870461    0.2265711         0 0.2256887 0.02767362
320,48057   58 0.2265711 0.02870461    0.2265711         0 0.2252387 0.02787361
320,48058   59 0.2265711 0.02870461    0.2265711         0 0.2235888 0.02852357
320,48059   60 0.2265711 0.02870461    0.2265711         0 0.2301135 0.02792360
          straddles budget seconds
320,480       FALSE  20000    0.51
320,4801      FALSE  20000    0.55
320,4802      FALSE  20000    0.44
320,4803      FALSE  20000    0.59
320,4804      FALSE  20000    0.44
320,4805      FALSE  20000    0.44
320,4806      FALSE  20000    0.44
320,4807      FALSE  20000    0.47
320,4808      FALSE  20000    0.46
320,4809      FALSE  20000    0.50
320,48010     FALSE  20000    0.44
320,48011     FALSE  20000    0.55
320,48012     FALSE  20000    0.47
320,48013     FALSE  20000    0.46
320,48014     FALSE  20000    0.47
320,48015     FALSE  20000    0.52
320,48016     FALSE  20000    0.44
320,48017     FALSE  20000    0.47
320,48018     FALSE  20000    0.47
320,48019     FALSE  20000    0.45
320,48020     FALSE  20000    0.45
320,48021     FALSE  20000    0.44
320,48022     FALSE  20000    0.53
320,48023     FALSE  20000    0.41
320,48024     FALSE  20000    0.43
320,48025     FALSE  20000    0.47
320,48026     FALSE  20000    0.56
320,48027     FALSE  20000    0.45
320,48028     FALSE  20000    0.47
320,48029     FALSE  20000    0.44
320,48030     FALSE  20000    0.43
320,48031     FALSE  20000    0.45
320,48032     FALSE  20000    0.46
320,48033     FALSE  20000    0.44
320,48034     FALSE  20000    0.53
320,48035     FALSE  20000    0.45
320,48036     FALSE  20000    0.53
320,48037     FALSE  20000    0.64
320,48038     FALSE  20000    0.42
320,48039     FALSE  20000    0.44
320,48040     FALSE  20000    0.44
320,48041     FALSE  20000    0.46
320,48042     FALSE  20000    0.42
320,48043     FALSE  20000    0.45
320,48044     FALSE  20000    0.42
320,48045     FALSE  20000    0.51
320,48046     FALSE  20000    0.41
320,48047     FALSE  20000    0.44
320,48048     FALSE  20000    0.42
320,48049     FALSE  20000    0.45
320,48050     FALSE  20000    0.43
320,48051     FALSE  20000    0.47
320,48052     FALSE  20000    0.45
320,48053     FALSE  20000    0.42
320,48054     FALSE  20000    0.45
320,48055     FALSE  20000    0.43
320,48056     FALSE  20000    0.53
320,48057     FALSE  20000    0.45
320,48058     FALSE  20000    0.45
320,48059     FALSE  20000    0.46
Shortfall distribution:
  0%  25%  50%  75%  90%  95% 100% 
   0    0    0    0    0    0    0 
Winners retaining only coarse scoring: 0 of 60 
