"seed","p","CI95","M","reference"
42,0.0136,"0.011 to 0.016",10000,0.016798393504558
43,0.0165,"0.014 to 0.019",10000,0.016798393504558
44,0.0168,"0.014 to 0.02",10000,0.016798393504558
45,0.016,"0.014 to 0.019",10000,0.016798393504558
46,0.0157,"0.013 to 0.018",10000,0.016798393504558
47,0.0177,"0.015 to 0.02",10000,0.016798393504558
48,0.0162,"0.014 to 0.019",10000,0.016798393504558
49,0.0175,"0.015 to 0.02",10000,0.016798393504558
50,0.01825,"0.016 to 0.021",10000,0.016798393504558
51,0.0151,"0.013 to 0.018",10000,0.016798393504558
52,0.0171,"0.015 to 0.02",10000,0.016798393504558
53,0.0171,"0.015 to 0.02",10000,0.016798393504558
54,0.0161,"0.014 to 0.019",10000,0.016798393504558
55,0.0138,"0.012 to 0.016",10000,0.016798393504558
56,0.0157,"0.013 to 0.018",10000,0.016798393504558
57,0.0164,"0.014 to 0.019",10000,0.016798393504558
58,0.015,"0.013 to 0.018",10000,0.016798393504558
59,0.0176,"0.015 to 0.02",10000,0.016798393504558
60,0.017,"0.015 to 0.02",10000,0.016798393504558
61,0.0167,"0.014 to 0.019",10000,0.016798393504558
