"J","seed","bad_position","M","p","kGreater","kEqual","MC_lower","MC_upper","exact_population_midp","reference_outside","at_001_disagrees"
15,42,1,10000,0.0143,137,12,0.0115141699087108,0.0174709732888176,0.0108473767374755,TRUE,FALSE
15,42,2,10000,0.0085,81,8,0.00643762370293137,0.010940961099561,0.0108473767374755,FALSE,TRUE
15,42,3,10000,0.00505,46,9,0.00336968767469238,0.00715306301292862,0.0108473767374755,TRUE,TRUE
15,42,4,10000,0.00295,25,9,0.00161850145554706,0.00474794827257379,0.0108473767374755,TRUE,TRUE
15,42,5,10000,0.0154,149,10,0.0126175398766794,0.0185476028474654,0.0108473767374755,TRUE,FALSE
15,42,6,10000,0.004,34,12,0.00235571319478879,0.00613104108261875,0.0108473767374755,TRUE,TRUE
15,42,7,10000,0.013,123,14,0.0102326488073126,0.0161753803003668,0.0108473767374755,FALSE,FALSE
15,42,8,10000,0.0102,97,10,0.00787288727879274,0.0129154120324539,0.0108473767374755,FALSE,FALSE
15,42,9,10000,0.0093,89,8,0.00715335347280502,0.011820535476867,0.0108473767374755,FALSE,TRUE
15,42,10,10000,0.00605,55,11,0.00414596086870028,0.00838926697138431,0.0108473767374755,TRUE,TRUE
15,42,11,10000,0.01185,114,9,0.00941254262736609,0.0146581714013357,0.0108473767374755,FALSE,FALSE
15,42,12,10000,0.0166,159,14,0.013540075535106,0.0200507544061153,0.0108473767374755,TRUE,FALSE
15,42,13,10000,0.0179,173,12,0.0148357923548783,0.0213357204774877,0.0108473767374755,TRUE,FALSE
15,42,14,10000,0.00735,66,15,0.00510800904632975,0.0100576432134978,0.0108473767374755,TRUE,TRUE
15,42,15,10000,0.01105,107,7,0.00877696365495737,0.013679136632605,0.0108473767374755,FALSE,FALSE
15,43,1,10000,0.02035,194,19,0.0167873664056506,0.0243232510042894,0.0108473767374755,TRUE,FALSE
15,43,2,10000,0.0076,72,8,0.00563769693513488,0.00994693888448661,0.0108473767374755,TRUE,TRUE
15,43,3,10000,0.01865,179,15,0.0153924597712132,0.0222975481407001,0.0108473767374755,TRUE,FALSE
15,43,4,10000,0.011,105,10,0.00859576640862749,0.0137880737068222,0.0108473767374755,FALSE,FALSE
15,43,5,10000,0.01385,135,7,0.0113306974110821,0.0167157207865437,0.0108473767374755,TRUE,FALSE
15,43,6,10000,0.0125,115,20,0.00950350819897822,0.015959029924565,0.0108473767374755,FALSE,FALSE
15,43,7,10000,0.01465,142,9,0.0119733921814934,0.0176865095705293,0.0108473767374755,TRUE,FALSE
15,43,8,10000,0.00325,25,15,0.00161850145554706,0.00544292239515291,0.0108473767374755,TRUE,TRUE
15,43,9,10000,0.01725,166,13,0.0141873573332117,0.0206936133947141,0.0108473767374755,TRUE,FALSE
15,43,10,10000,0.0067,62,10,0.00475671131427056,0.0090587337584781,0.0108473767374755,TRUE,TRUE
15,43,11,10000,0.0099,93,12,0.00751267585581209,0.0126968134361681,0.0108473767374755,FALSE,TRUE
15,43,12,10000,0.0045,40,10,0.00285915003876702,0.00658662642907992,0.0108473767374755,TRUE,TRUE
15,43,13,10000,0.00865,80,13,0.00634845206349964,0.011381186049757,0.0108473767374755,FALSE,TRUE
15,43,14,10000,0.0056,50,12,0.00371330617955549,0.00794116672150191,0.0108473767374755,TRUE,TRUE
15,43,15,10000,0.01585,151,15,0.0128018346626122,0.0192997502903587,0.0108473767374755,TRUE,FALSE
15,44,1,10000,0.01575,153,9,0.0129862376732584,0.0188700963586445,0.0108473767374755,TRUE,FALSE
15,44,2,10000,0.0059,56,6,0.00423287064024541,0.00794116672150191,0.0108473767374755,TRUE,TRUE
15,44,3,10000,0.008,76,8,0.00599247384747138,0.0103893587509309,0.0108473767374755,TRUE,TRUE
15,44,4,10000,0.01395,132,15,0.0110557290594848,0.0172553276813012,0.0108473767374755,TRUE,FALSE
15,44,5,10000,0.00305,26,9,0.00169908768103138,0.00486432285159417,0.0108473767374755,TRUE,TRUE
15,44,6,10000,0.00965,92,9,0.00742275967406875,0.0122590620796899,0.0108473767374755,FALSE,TRUE
15,44,7,10000,0.00405,35,11,0.00243905245275839,0.00613104108261875,0.0108473767374755,TRUE,TRUE
15,44,8,10000,0.0069,62,14,0.00475671131427056,0.00950342585071529,0.0108473767374755,TRUE,TRUE
15,44,9,10000,0.0088,84,8,0.00670554304789756,0.0112712140744484,0.0108473767374755,FALSE,TRUE
15,44,10,10000,0.01275,123,9,0.0102326488073126,0.0156342665036793,0.0108473767374755,FALSE,FALSE
15,44,11,10000,0.01175,112,11,0.0092307351214203,0.0146581714013357,0.0108473767374755,FALSE,FALSE
15,44,12,10000,0.01675,162,11,0.0138173361335252,0.0200507544061153,0.0108473767374755,TRUE,FALSE
15,44,13,10000,0.015,147,6,0.0124333554705286,0.0179019386473337,0.0108473767374755,TRUE,FALSE
15,44,14,10000,0.0051,46,10,0.00336968767469238,0.00726598131541001,0.0108473767374755,TRUE,TRUE
15,44,15,10000,0.01065,101,11,0.00823393370804868,0.013461140389643,0.0108473767374755,FALSE,FALSE
23,42,1,1e+05,0.00041,40,2,0.000285780759759675,0.000567676054565555,0.000601457319643434,TRUE,FALSE
23,42,2,1e+05,0.00019,15,8,8.39562141088103e-05,0.000345093065154408,0.000601457319643434,TRUE,FALSE
23,42,3,1e+05,0.000525,49,7,0.000362525997323358,0.000727145778428027,0.000601457319643434,FALSE,FALSE
23,42,4,1e+05,0.00095,92,6,0.000741712294371765,0.0011941781081406,0.000601457319643434,TRUE,FALSE
23,42,5,1e+05,0.00114,113,2,0.0009313678412372,0.00138024178123324,0.000601457319643434,TRUE,FALSE
