"TRIAL","ROW","N","MEAN","SD","CAT1","CAT2"
"Audit","V01",NA,NA,NA,1,1
"Audit","V01",NA,NA,NA,1,1
"Audit","V02",NA,NA,NA,1,1
"Audit","V02",NA,NA,NA,1,1
"Audit","V03",NA,NA,NA,1,1
"Audit","V03",NA,NA,NA,1,1
"Audit","V04",NA,NA,NA,1,1
"Audit","V04",NA,NA,NA,1,1
"Audit","V05",NA,NA,NA,1,1
"Audit","V05",NA,NA,NA,1,1
"Audit","V06",NA,NA,NA,1,1
"Audit","V06",NA,NA,NA,1,1
"Audit","V07",NA,NA,NA,1,1
"Audit","V07",NA,NA,NA,1,1
"Audit","V08",NA,NA,NA,1,1
"Audit","V08",NA,NA,NA,1,1
"Audit","V09",NA,NA,NA,1,1
"Audit","V09",NA,NA,NA,1,1
"Audit","V10",NA,NA,NA,1,1
"Audit","V10",NA,NA,NA,1,1
"Audit","V11",NA,NA,NA,1,1
"Audit","V11",NA,NA,NA,1,1
"Audit","V12",NA,NA,NA,1,1
"Audit","V12",NA,NA,NA,1,1
"Audit","V13",NA,NA,NA,1,1
"Audit","V13",NA,NA,NA,1,1
"Audit","V14",NA,NA,NA,1,1
"Audit","V14",NA,NA,NA,1,1
"Audit","V15",NA,NA,NA,1,1
"Audit","V15",NA,NA,NA,1,1
