"TRIAL","ROW","N","MEAN","SD","YES","NO"
"Audit","V01",,,,1,99
"Audit","V01",,,,1,99
"Audit","V02",,,,1,99
"Audit","V02",,,,1,99
"Audit","V03",,,,0,100
"Audit","V03",,,,2,98
"Audit","V04",,,,1,99
"Audit","V04",,,,1,99
"Audit","V05",,,,1,99
"Audit","V05",,,,1,99
"Audit","V06",,,,1,99
"Audit","V06",,,,1,99
"Audit","V07",,,,1,99
"Audit","V07",,,,1,99
"Audit","V08",,,,1,99
"Audit","V08",,,,1,99
"Audit","V09",,,,1,99
"Audit","V09",,,,1,99
"Audit","V10",,,,1,99
"Audit","V10",,,,1,99
"Audit","V11",,,,1,99
"Audit","V11",,,,1,99
"Audit","V12",,,,1,99
"Audit","V12",,,,1,99
"Audit","V13",,,,1,99
"Audit","V13",,,,1,99
"Audit","V14",,,,1,99
"Audit","V14",,,,1,99
