"TRIAL","ROW","N","MEAN","SD","CAT1","CAT2"
"Audit","V01",,,,1,1
"Audit","V01",,,,1,1
"Audit","V02",,,,1,1
"Audit","V02",,,,1,1
"Audit","V03",,,,1,1
"Audit","V03",,,,1,1
"Audit","V04",,,,1,1
"Audit","V04",,,,1,1
"Audit","V05",,,,1,1
"Audit","V05",,,,1,1
"Audit","V06",,,,0,2
"Audit","V06",,,,2,0
"Audit","V07",,,,1,1
"Audit","V07",,,,1,1
"Audit","V08",,,,1,1
"Audit","V08",,,,1,1
"Audit","V09",,,,1,1
"Audit","V09",,,,1,1
"Audit","V10",,,,1,1
"Audit","V10",,,,1,1
"Audit","V11",,,,1,1
"Audit","V11",,,,1,1
"Audit","V12",,,,1,1
"Audit","V12",,,,1,1
"Audit","V13",,,,1,1
"Audit","V13",,,,1,1
"Audit","V14",,,,1,1
"Audit","V14",,,,1,1
"Audit","V15",,,,1,1
"Audit","V15",,,,1,1
