"N","J","bad_position","seed","M","p","CI95","exact_midp","at_001_disagrees"
100,9,1,42,1e+05,"0.0194","",0.0111459494027611,FALSE
100,9,2,42,10000,"0.0156","",0.0111459494027611,FALSE
100,9,3,42,1e+05,"0.003285","",0.0111459494027611,TRUE
100,9,4,42,1e+05,"0.005315","",0.0111459494027611,TRUE
100,9,5,42,10000,"0.01395","",0.0111459494027611,FALSE
100,9,6,42,1e+05,"0.01122","",0.0111459494027611,FALSE
100,9,7,42,1e+05,"0.01323","",0.0111459494027611,FALSE
100,9,8,42,10000,"0.01685","",0.0111459494027611,FALSE
100,9,9,42,10000,"0.012","",0.0111459494027611,FALSE
100,14,1,42,1e+05,"0.000975","0.00075 to 0.0012",0.000519194541113967,FALSE
100,14,2,42,1e+05,"4e-04","0.00025 to 0.00059",0.000519194541113967,FALSE
100,14,3,42,1e+05,"0.00027","0.00016 to 0.00042",0.000519194541113967,FALSE
100,14,4,42,1e+05,"0.00083","0.00064 to 0.0011",0.000519194541113967,FALSE
100,14,5,42,1e+05,"0.000325","0.00019 to 5e-04",0.000519194541113967,FALSE
100,14,6,42,1e+05,"0.00058","0.00041 to 0.00078",0.000519194541113967,FALSE
100,14,7,42,1e+05,"0.00013","2.2e-05 to 0.00031",0.000519194541113967,FALSE
100,14,8,42,1e+05,"0.000465","0.00032 to 0.00065",0.000519194541113967,FALSE
100,14,9,42,1e+05,"0.000225","0.00012 to 0.00037",0.000519194541113967,FALSE
100,14,10,42,1e+05,"0.000645","0.00047 to 0.00086",0.000519194541113967,FALSE
100,14,11,42,1e+05,"0.00078","0.00059 to 0.001",0.000519194541113967,FALSE
100,14,12,42,1e+05,"0.00089","0.00068 to 0.0011",0.000519194541113967,FALSE
100,14,13,42,1e+05,"0.000715","0.00053 to 0.00094",0.000519194541113967,FALSE
100,14,14,42,1e+05,"0.00052","0.00036 to 0.00072",0.000519194541113967,FALSE
