"file","test","passed","failed","errors","skipped","warnings","details"
"test-failsafe-table.R","an arm's vectors obey both the brackets and the arm total",4,0,0,0,0,""
"test-failsafe-table.R","without a partition the cells are independent of each other",4,0,0,0,0,""
"test-failsafe-table.R","the rebuilt counts sum to the arm N",1,0,0,0,0,""
"test-failsafe-table.R","the reading chosen is the one with the largest p",2,0,0,0,0,""
"test-failsafe-table.R","the choice can be interior to the bracket, not only its ends",1,0,0,0,0,""
"test-failsafe-table.R","the worst case is reported and is no larger than the best",5,0,0,0,0,""
"test-failsafe-table.R","a page whose readings agree does not raise the straddle",2,0,0,0,0,""
"test-failsafe-table.R","nothing ambiguous means nothing is touched",2,0,0,0,0,""
"test-failsafe-table.R","a parsed percent block rebuilds arms that sum to their N",2,0,0,0,0,""
"test-failsafe-table.R","the fail-safe record survives a hybrid parse",0,0,0,1,0,"Reason: fixture did not take the hybrid route"
"test-failsafe-table.R","the old per-level rule really did break the arm total",6,0,0,0,0,""
"test-failsafe-table.R","a page too large to enumerate is unresolved, not guessed",5,0,0,0,0,""
"test-failsafe-table.R","nothing infers that categories divide the arm",0,0,0,1,0,"Reason: space too large in this configuration"
"test-failsafe-table.R","the selector agrees with the engine on a small table",2,0,0,0,0,""
"test-failsafe-table.R","the same page always yields the same counts",3,0,0,0,0,""
