"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","V01","0.8333","0.66 to 1","1e+05","","variable"
NA,"V02","0.3332","0 to 0.67","1e+05","attainable floor","variable"
NA,"V03","0.3323","0 to 0.67","1e+05","attainable floor","variable"
NA,"V04","0.3329","0 to 0.67","1e+05","attainable floor","variable"
NA,"V05","0.3343","0 to 0.67","1e+05","attainable floor","variable"
NA,"V06","0.3332","0 to 0.67","1e+05","attainable floor","variable"
NA,"V07","0.3331","0 to 0.67","1e+05","attainable floor","variable"
NA,"V08","0.332","0 to 0.67","1e+05","attainable floor","variable"
NA,"V09","0.3325","0 to 0.67","1e+05","attainable floor","variable"
NA,"V10","0.3334","0 to 0.67","1e+05","attainable floor","variable"
NA,"V11","0.3339","0 to 0.67","1e+05","attainable floor","variable"
NA,"V12","0.3335","0 to 0.67","1e+05","attainable floor","variable"
NA,"V13","0.3334","0 to 0.67","1e+05","attainable floor","variable"
NA,"V14","0.333","0 to 0.67","1e+05","attainable floor","variable"
NA,"V15","0.3312","0 to 0.67","1e+05","attainable floor","variable"
NA,"V16","0.3339","0 to 0.67","1e+05","attainable floor","variable"
NA,"Summary","0.00889","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
