"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","V01","0.8384","0.67 to 1","10000","","variable"
NA,"V02","0.3332","0 to 0.68","10000","attainable floor","variable"
NA,"V03","0.3376","0 to 0.68","10000","attainable floor","variable"
NA,"V04","0.3345","0 to 0.68","10000","attainable floor","variable"
NA,"V05","0.3364","0 to 0.68","10000","attainable floor","variable"
NA,"V06","0.3352","0 to 0.68","10000","attainable floor","variable"
NA,"V07","0.3366","0 to 0.68","10000","attainable floor","variable"
NA,"V08","0.3283","0 to 0.67","10000","attainable floor","variable"
NA,"V09","0.3369","0 to 0.68","10000","attainable floor","variable"
NA,"V10","0.3325","0 to 0.67","10000","attainable floor","variable"
NA,"V11","0.3336","0 to 0.68","10000","attainable floor","variable"
NA,"V12","0.331","0 to 0.67","10000","attainable floor","variable"
NA,"V13","0.3334","0 to 0.68","10000","attainable floor","variable"
NA,"V14","0.3316","0 to 0.67","10000","attainable floor","variable"
NA,"V15","0.3368","0 to 0.68","10000","attainable floor","variable"
NA,"Summary","0.02035","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
