"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","V01","0.2528","0 to 0.51","1e+05","attainable floor","variable"
NA,"V02","0.2505","0 to 0.5","1e+05","attainable floor","variable"
NA,"V03","0.2496","0 to 0.5","1e+05","attainable floor","variable"
NA,"V04","0.2522","0 to 0.51","1e+05","attainable floor","variable"
NA,"V05","0.2504","0 to 0.5","1e+05","attainable floor","variable"
NA,"V06","0.2516","0 to 0.51","1e+05","attainable floor","variable"
NA,"V07","0.2503","0 to 0.5","1e+05","attainable floor","variable"
NA,"V08","0.2513","0 to 0.51","1e+05","attainable floor","variable"
NA,"V09","0.7503","0.5 to 1","1e+05","","variable"
NA,"V10","0.2518","0 to 0.51","1e+05","attainable floor","variable"
NA,"V11","0.2519","0 to 0.51","1e+05","attainable floor","variable"
NA,"V12","0.2523","0 to 0.51","1e+05","attainable floor","variable"
NA,"V13","0.2519","0 to 0.51","1e+05","attainable floor","variable"
NA,"V14","0.2514","0 to 0.51","1e+05","attainable floor","variable"
NA,"Summary","0.000225","0.00012 to 0.00037",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
