"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","V01","0.335","0 to 0.68","10000","attainable floor","variable"
NA,"V02","0.3324","0 to 0.67","10000","attainable floor","variable"
NA,"V03","0.3312","0 to 0.67","10000","attainable floor","variable"
NA,"V04","0.326","0 to 0.66","10000","attainable floor","variable"
NA,"V05","0.3352","0 to 0.68","10000","attainable floor","variable"
NA,"V06","0.3304","0 to 0.67","10000","attainable floor","variable"
NA,"V07","0.3348","0 to 0.68","10000","attainable floor","variable"
NA,"V08","0.3333","0 to 0.68","10000","attainable floor","variable"
NA,"V09","0.3328","0 to 0.67","10000","attainable floor","variable"
NA,"V10","0.3312","0 to 0.67","10000","attainable floor","variable"
NA,"V11","0.3347","0 to 0.68","10000","attainable floor","variable"
NA,"V12","0.3354","0 to 0.68","10000","attainable floor","variable"
NA,"V13","0.3358","0 to 0.68","10000","attainable floor","variable"
NA,"V14","0.3314","0 to 0.67","10000","attainable floor","variable"
NA,"V15","0.8342","0.66 to 1","10000","","variable"
NA,"Summary","0.01105","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
