"file","test","passed","failed","errors","skipped","warnings","details"
"test-api-service.R","the service honors the whole issue-1 contract",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","the service reads a JATS XML article, end to end",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","an oversized upload is refused 413 over HTTP",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","the AI key reaches a REAL spawned child through the environment",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","/analyze names the FAIL-SAFE rows in its own reply (screen 1609, F2)",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","/analyze returns the journal-style table per trial",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","journalTables carry the sanitizing too",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","an ordinary table still gets its journal tables",0,0,0,1,0,"Reason: On CRAN"
"test-dispersion.R","the quadrature agrees with nimble running Barnett's model",0,0,0,1,0,"Reason: On CRAN"
"test-failsafe-table.R","the fail-safe record survives a hybrid parse",0,0,0,1,0,"Reason: fixture did not take the hybrid route"
"test-failsafe-table.R","nothing infers that categories divide the arm",0,0,0,1,0,"Reason: space too large in this configuration"
