"J","bad_position","seed","ceiling","M","p","CI95","reference","at_001_disagrees"
15,1,42,1e+05,10000,"0.0143","",0.0108473767374755,FALSE
15,2,42,1e+05,1e+05,"0.01016","",0.0108473767374755,FALSE
15,3,42,1e+05,1e+05,"0.0042","",0.0108473767374755,TRUE
15,4,42,1e+05,1e+05,"0.008995","",0.0108473767374755,TRUE
15,5,42,1e+05,10000,"0.0154","",0.0108473767374755,FALSE
15,6,42,1e+05,1e+05,"0.01803","",0.0108473767374755,FALSE
15,7,42,1e+05,10000,"0.013","",0.0108473767374755,FALSE
15,8,42,1e+05,10000,"0.0102","",0.0108473767374755,FALSE
15,9,42,1e+05,1e+05,"0.006695","",0.0108473767374755,TRUE
15,10,42,1e+05,1e+05,"0.01464","",0.0108473767374755,FALSE
15,11,42,1e+05,10000,"0.01185","",0.0108473767374755,FALSE
15,12,42,1e+05,10000,"0.0166","",0.0108473767374755,FALSE
15,13,42,1e+05,10000,"0.0179","",0.0108473767374755,FALSE
15,14,42,1e+05,1e+05,"0.01134","",0.0108473767374755,FALSE
15,15,42,1e+05,10000,"0.01105","",0.0108473767374755,FALSE
23,1,42,1e+05,1e+05,"0.00041","0.00029 to 0.00057",0.000601457319643434,FALSE
23,4,42,1e+05,1e+05,"0.00095","0.00074 to 0.0012",0.000601457319643434,FALSE
23,15,42,1e+05,1e+05,"8e-04","0.00061 to 0.001",0.000601457319643434,FALSE
