"N1","N2","p1","p2","p3","p4","partition","n","groups","maxRank","minRank","best","best50","worst","worst50","id"
200,5000,0,100,0,100,TRUE,51,26,1,23,0.98076923076923,0.98076923076923,0.162000879894918,0.162000879894918,1
200,5000,0,100,1,99,TRUE,102,52,10,13,0.922799000087054,0.922799000087054,0.171558530025341,0.171558530025341,2
200,5000,1,99,0,100,TRUE,78,28,1,13,0.999971961238245,0.999971961238245,0.162000879894918,0.162000879894918,3
200,5000,1,99,1,99,TRUE,153,53,1,43,0.944043422878303,0.944043422878303,0.11077725989753,0.11077725989753,4
200,5000,1,99,2,98,TRUE,153,53,9,13,0.931310579306179,0.931310579306179,0.11096047728147,0.11096047728147,5
200,5000,2,98,1,99,TRUE,153,53,1,13,0.996986949157349,0.996986949157349,0.11077725989753,0.11077725989753,6
200,5000,2,98,2,98,TRUE,153,53,1,46,0.680222622693545,0.680222622693545,0.0886154529842064,0.0886154529842064,7
200,5000,2,98,3,97,TRUE,153,53,9,13,0.869199252213896,0.869199252213896,0.0885422325048123,0.0885422325048123,8
200,5000,5,95,4,96,TRUE,153,53,1,13,0.855590165874161,0.855590165874161,0.067904289602932,0.067904289602932,9
200,5000,5,95,5,95,TRUE,153,53,4,48,0.448464789058025,0.448464789058025,0.0619844063373438,0.0619844063373438,10
200,5000,5,95,6,94,TRUE,153,53,8,13,0.731009379982529,0.731009379982529,0.0619219315673706,0.0619219315673706,11
200,5000,10,90,9,91,TRUE,153,53,1,13,0.663604506575973,0.663604506575973,0.0485426327714706,0.0485426327714706,12
200,5000,10,90,10,90,TRUE,153,53,8,48,0.329559288540073,0.329559288540073,0.0464737086871034,0.0464737086871034,13
200,5000,10,90,11,89,TRUE,153,53,6,13,0.604383877082293,0.604383877082293,0.0464448878936217,0.0464448878936217,14
200,5000,25,75,24,76,TRUE,153,53,3,13,0.474752051849441,0.474752051849441,0.0332871634361879,0.0332871634361879,15
200,5000,25,75,25,75,TRUE,153,53,11,48,0.229848226622195,0.229848226622195,0.0328504992638477,0.0328504992638477,16
200,5000,25,75,26,74,TRUE,153,53,5,13,0.459785052643723,0.459785052643723,0.0328434557396798,0.0328434557396798,17
200,5000,50,50,49,51,TRUE,153,53,4,13,0.410931341141184,0.410931341141184,0.0286700574044842,0.0286700574044842,18
200,5000,50,50,50,50,TRUE,153,53,11,48,0.198942779156578,0.198942779156578,0.0286685860622711,0.0286685860622711,19
200,5000,50,50,51,49,TRUE,153,53,4,13,0.410931341141184,0.410931341141184,0.0286700574044842,0.0286700574044842,20
300,5000,0,100,0,100,TRUE,51,26,1,26,0.971698113207547,0.971698113207547,0.160003400912367,0.160003400912367,21
300,5000,0,100,1,99,TRUE,102,52,5,1,0.97443067676347,0.97443067676347,0.171678476410502,0.171678476410502,22
300,5000,1,99,0,100,TRUE,78,28,1,1,0.999994963562548,0.999994963562548,0.131395557457526,0.131395557457526,23
300,5000,1,99,1,99,TRUE,153,53,1,47,0.949942566601134,0.949942566601134,0.0981362728415105,0.0981362728415105,24
300,5000,1,99,2,98,TRUE,153,53,4,1,0.962336837771337,0.962336837771337,0.0981718875362174,0.0981718875362174,25
300,5000,2,98,1,99,TRUE,153,53,1,1,0.998990772294717,0.998990772294717,0.0890523002052338,0.0890523002052338,26
300,5000,2,98,2,98,TRUE,153,53,1,46,0.715950629146232,0.715950629146232,0.0762002645935957,0.0762002645935957,27
300,5000,2,98,3,97,TRUE,153,53,4,1,0.917371478765236,0.917371478765236,0.0762002645935957,0.0762002645935957,28
300,5000,5,95,4,96,TRUE,153,53,1,1,0.907322199581493,0.907322199581493,0.055431419619851,0.055431419619851,29
300,5000,5,95,5,95,TRUE,153,53,2,49,0.475176390888738,0.475176390888738,0.0520510618552342,0.0520510618552342,30
300,5000,5,95,6,94,TRUE,153,53,4,1,0.797393133319049,0.797393133319049,0.0520510618552342,0.0520510618552342,31
300,5000,10,90,9,91,TRUE,153,53,1,1,0.733926077484807,0.733926077484807,0.0398439961822835,0.0398439961822835,32
300,5000,10,90,10,90,TRUE,153,53,2,50,0.349267087146988,0.349267087146988,0.0386681603637613,0.0386681603637613,33
300,5000,10,90,11,89,TRUE,153,53,2,1,0.672906972436657,0.672906972436657,0.0386681603637613,0.0386681603637613,34
300,5000,25,75,24,76,TRUE,153,53,1,1,0.537094213768594,0.537094213768594,0.0274175232388874,0.0274175232388874,35
300,5000,25,75,25,75,TRUE,153,53,5,50,0.2435152761164,0.2435152761164,0.0271700932675655,0.0271700932675655,36
300,5000,25,75,26,74,TRUE,153,53,1,1,0.520403786599356,0.520403786599356,0.0271700932675655,0.0271700932675655,37
300,5000,50,50,49,51,TRUE,153,53,1,1,0.467195143046187,0.467195143046187,0.0236573865051467,0.0236573865051467,38
300,5000,50,50,50,50,TRUE,153,53,5,52,0.210685072111222,0.210685072111222,0.0236542940127439,0.0236573865051467,39
300,5000,50,50,51,49,TRUE,153,53,1,1,0.467195143046187,0.467195143046187,0.0236573865051467,0.0236573865051467,40
500,5000,0,100,0,100,TRUE,77,27,1,16,0.995875283109326,0.995875283109326,0.134111288041218,0.134111288041218,41
500,5000,0,100,1,99,TRUE,153,53,4,1,0.994814838486818,0.994814838486818,0.134111288041218,0.134111288041218,42
500,5000,1,99,0,100,TRUE,130,30,1,1,0.99999997530778,0.99999997530778,0.113895352971968,0.113895352971968,43
500,5000,1,99,1,99,TRUE,255,55,1,41,0.985600263189449,0.985600263189449,0.0772208414531818,0.0772208414531818,44
500,5000,1,99,2,98,TRUE,255,55,2,1,0.993880623339496,0.993880623339496,0.0772208414531818,0.0772208414531818,45
500,5000,2,98,1,99,TRUE,255,55,1,1,0.999963203258025,0.999963203258025,0.0729005078309051,0.0729005078309051,46
500,5000,2,98,2,98,TRUE,255,55,1,45,0.891326174156993,0.891326174156993,0.060026044432132,0.060026044432132,47
500,5000,2,98,3,97,TRUE,255,55,2,1,0.978726152712759,0.978726152712759,0.060026044432132,0.060026044432132,48
500,5000,5,95,4,96,TRUE,255,55,1,1,0.970861734605991,0.970861734605991,0.0443082638588006,0.0443082638588006,49
500,5000,5,95,5,95,TRUE,255,55,1,46,0.659304391684213,0.659304391684213,0.0410528539748471,0.0410528539748471,50
500,5000,5,95,6,94,TRUE,255,55,2,1,0.908407691711649,0.908407691711649,0.0410528539748471,0.0410528539748471,51
500,5000,10,90,9,91,TRUE,255,55,1,1,0.855274260377595,0.855274260377595,0.031633307810932,0.031633307810932,52
500,5000,10,90,10,90,TRUE,255,55,1,46,0.501364521970169,0.501364521970169,0.0305133924558013,0.0305133924558013,53
500,5000,10,90,11,89,TRUE,255,55,2,1,0.804236773070389,0.804236773070389,0.0305133924558013,0.0305133924558013,54
500,5000,25,75,24,76,TRUE,255,55,1,1,0.665442862387244,0.665442862387244,0.0216839683591035,0.0216839683591035,55
500,5000,25,75,25,75,TRUE,255,55,1,46,0.356385121406504,0.356385121406504,0.0214497258792182,0.0214497258792182,56
500,5000,25,75,26,74,TRUE,255,55,1,1,0.648156276162862,0.648156276162862,0.0214497258792182,0.0214497258792182,57
500,5000,50,50,49,51,TRUE,255,55,1,1,0.588117804472171,0.588117804472171,0.0186862476111099,0.0186862476111099,58
500,5000,50,50,50,50,TRUE,255,55,1,46,0.309663332057431,0.309663332057431,0.0186856247039055,0.0186856247039055,59
500,5000,50,50,51,49,TRUE,255,55,1,1,0.588117804472171,0.588117804472171,0.0186862476111099,0.0186862476111099,60
1000,5000,0,100,0,100,TRUE,155,30,1,14,0.999936234130823,0.999936234130823,0.0956213516930491,0.0956213516930491,61
1000,5000,0,100,1,99,TRUE,306,56,3,3,0.99981663099986,0.99981663099986,0.0944934137546757,0.0944934137546757,62
1000,5000,1,99,0,100,TRUE,286,36,1,3,0.999999999999026,0.999999999999026,0.0956213516930491,0.0956213516930491,63
1000,5000,1,99,1,99,TRUE,561,61,1,32,0.999200414915378,0.999200414915378,0.0563887473526599,0.0563887473526599,64
1000,5000,1,99,2,98,TRUE,561,61,1,3,0.999899130313403,0.999899130313403,0.0561514887850247,0.0561514887850247,65
1000,5000,2,98,1,99,TRUE,561,61,1,3,0.99999997104946,0.99999997104946,0.0563887473526599,0.0563887473526599,66
1000,5000,2,98,2,98,TRUE,561,61,1,32,0.974891939560756,0.974891939560756,0.0440426791965413,0.0440426791965413,67
1000,5000,2,98,3,97,TRUE,561,61,1,3,0.999028446295063,0.999028446295063,0.0439309427153404,0.0439309427153404,68
1000,5000,5,95,4,96,TRUE,561,61,1,3,0.997359906469323,0.997359906469323,0.0332400346106,0.0332400346106,69
1000,5000,5,95,5,95,TRUE,561,61,1,32,0.824221413482162,0.824221413482162,0.0302399652353122,0.0302399652353122,70
1000,5000,5,95,6,94,TRUE,561,61,1,3,0.984208640268504,0.984208640268504,0.0302058270292802,0.0302058270292802,71
1000,5000,10,90,9,91,TRUE,561,61,1,3,0.959113344955271,0.959113344955271,0.023533491601608,0.023533491601608,72
1000,5000,10,90,10,90,TRUE,561,61,1,32,0.66605062968185,0.66605062968185,0.0225121695922584,0.0225121695922584,73
1000,5000,10,90,11,89,TRUE,561,61,1,3,0.934555785641939,0.934555785641939,0.0224996301950475,0.0224996301950475,74
1000,5000,25,75,24,76,TRUE,561,61,1,3,0.826647004468927,0.826647004468927,0.0160558301538815,0.0160558301538815,75
1000,5000,25,75,25,75,TRUE,561,61,1,32,0.492417738431302,0.492417738431302,0.015843383215882,0.015843383215882,76
1000,5000,25,75,26,74,TRUE,561,61,1,3,0.813045702615064,0.813045702615064,0.0158406670191478,0.0158406670191478,77
1000,5000,50,50,49,51,TRUE,561,61,1,3,0.754133348370663,0.754133348370663,0.0138132220684476,0.0138132220684476,78
1000,5000,50,50,50,50,TRUE,561,61,3,32,0.432262266998238,0.432262266998238,0.0138125138558114,0.0138125138558114,79
1000,5000,50,50,51,49,TRUE,561,61,1,3,0.754133348370663,0.754133348370663,0.0138132220684476,0.0138132220684476,80
5000,5000,0,100,0,100,TRUE,675,50,1,23,0.999999971080601,0.999999971080601,0.0562784517176584,0.0562784517176584,81
5000,5000,0,100,1,99,TRUE,1326,76,1,1,1,1,0.0562784517176584,0.0562784517176584,82
5000,5000,1,99,0,100,TRUE,1326,76,1,1,1,1,0.0562784517176584,0.0562784517176584,83
5000,5000,1,99,1,99,TRUE,2601,101,1,26,0.999999672559252,0.999999672559252,0.032765917764127,0.032765917764127,84
5000,5000,1,99,2,98,TRUE,2601,101,1,1,1,1,0.032765917764127,0.032765917764127,85
5000,5000,2,98,1,99,TRUE,2601,101,1,1,1,1,0.032765917764127,0.032765917764127,86
5000,5000,2,98,2,98,TRUE,2601,101,1,51,0.999655508367301,0.999655508367301,0.0255272000544517,0.0256270907801591,87
5000,5000,2,98,3,97,TRUE,2601,101,1,1,0.999999999906738,0.999999999906738,0.0255272000544517,0.0255272000544517,88
