"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.764","0.5 to 1","1000","","variable"
NA,"V02","0.25","0 to 0.53","1000","attainable floor","variable"
NA,"V03","0.2475","0 to 0.53","1000","attainable floor","variable"
NA,"V04","0.2425","0 to 0.52","1000","attainable floor","variable"
NA,"V05","0.2395","0 to 0.51","1000","attainable floor","variable"
NA,"V06","0.2485","0 to 0.53","1000","attainable floor","variable"
NA,"V07","0.2515","0 to 0.53","1000","attainable floor","variable"
NA,"V08","0.2635","0 to 0.56","1000","attainable floor","variable"
NA,"V09","0.2605","0 to 0.55","1000","attainable floor","variable"
NA,"Summary","0.018","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
