"id","J","seed","flipped","exact","seconds","ok","p","CI95","M","note"
"J9-baseline-seed42",9,42,"",0.0111459494027611,3.07,TRUE,"0.01133","","1e+05",""
"J9-baseline-seed43",9,43,"",0.0111459494027611,1.14,TRUE,"0.01085","","10000",""
"J9-baseline-seed44",9,44,"",0.0111459494027611,2.58,TRUE,"0.01105","","1e+05",""
"J9-flip-extreme-seed42",9,42,"3",0.0111459494027611,2.52,TRUE,"0.003285","","1e+05",""
"J9-flip-extreme-seed43",9,43,"3",0.0111459494027611,0.25,TRUE,"0.0192","","10000",""
"J9-flip-extreme-seed44",9,44,"3",0.0111459494027611,0.24,TRUE,"0.017","","10000",""
"J9-flip-ordinary-seed42",9,42,"1",0.0111459494027611,0.25,TRUE,"0.0104","","10000",""
"J9-flip-ordinary-seed43",9,43,"1",0.0111459494027611,0.26,TRUE,"0.01","","10000",""
"J9-flip-ordinary-seed44",9,44,"1",0.0111459494027611,2.57,TRUE,"0.01196","","1e+05",""
"J9-flip-odd-seed42",9,42,"1;3;5;7;9",0.0111459494027611,2.8,TRUE,"0.01522","","1e+05",""
"J9-flip-odd-seed43",9,43,"1;3;5;7;9",0.0111459494027611,2.63,TRUE,"0.01478","","1e+05",""
"J9-flip-odd-seed44",9,44,"1;3;5;7;9",0.0111459494027611,2.69,TRUE,"0.00709","","1e+05",""
"J9-flip-all-seed42",9,42,"1;2;3;4;5;6;7;8;9",0.0111459494027611,2.81,TRUE,"0.01133","","1e+05",""
"J9-flip-all-seed43",9,43,"1;2;3;4;5;6;7;8;9",0.0111459494027611,0.299999999999997,TRUE,"0.01085","","10000",""
"J9-flip-all-seed44",9,44,"1;2;3;4;5;6;7;8;9",0.0111459494027611,2.53,TRUE,"0.01105","","1e+05",""
"J14-baseline-seed42",14,42,"",0.000519194541113967,4.2,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-baseline-seed43",14,43,"",0.000519194541113967,4.25,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-baseline-seed44",14,44,"",0.000519194541113967,4.15,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"J14-flip-extreme-seed42",14,42,"7",0.000519194541113967,4.11,TRUE,"0.00013","2.2e-05 to 0.00031","1e+05",""
"J14-flip-extreme-seed43",14,43,"7",0.000519194541113967,4.2,TRUE,"1e-04","1.6e-05 to 0.00025","1e+05",""
"J14-flip-extreme-seed44",14,44,"7",0.000519194541113967,4.13999999999999,TRUE,"9e-05","1.6e-05 to 0.00022","1e+05",""
"J14-flip-ordinary-seed42",14,42,"1",0.000519194541113967,4,TRUE,"0.000495","2.2e-05 to 0.0011","1e+05",""
"J14-flip-ordinary-seed43",14,43,"1",0.000519194541113967,4.22,TRUE,"0.00045","1.6e-05 to 0.0011","1e+05",""
"J14-flip-ordinary-seed44",14,44,"1",0.000519194541113967,4,TRUE,"7e-04","8.4e-05 to 0.0015","1e+05",""
