"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.2521","0 to 0.51","1e+05","attainable floor","variable"
NA,"V02","0.2518","0 to 0.51","1e+05","attainable floor","variable"
NA,"V03","0.2508","0 to 0.5","1e+05","attainable floor","variable"
NA,"V04","0.2521","0 to 0.51","1e+05","attainable floor","variable"
NA,"V05","0.2508","0 to 0.5","1e+05","attainable floor","variable"
NA,"V06","0.2509","0 to 0.5","1e+05","attainable floor","variable"
NA,"V07","0.7512","0.5 to 1","1e+05","","variable"
NA,"V08","0.2512","0 to 0.51","1e+05","attainable floor","variable"
NA,"V09","0.2517","0 to 0.51","1e+05","attainable floor","variable"
NA,"V10","0.2518","0 to 0.51","1e+05","attainable floor","variable"
NA,"V11","0.2525","0 to 0.51","1e+05","attainable floor","variable"
NA,"V12","0.2508","0 to 0.5","1e+05","attainable floor","variable"
NA,"V13","0.251","0 to 0.51","1e+05","attainable floor","variable"
NA,"V14","0.2511","0 to 0.51","1e+05","attainable floor","variable"
NA,"Summary","0.00045","1.6e-05 to 0.0011",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
