"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.2474","0 to 0.5","10000","attainable floor","variable"
NA,"V02","0.252","0 to 0.51","10000","attainable floor","variable"
NA,"V03","0.7518","0.49 to 1","10000","","variable"
NA,"V04","0.253","0 to 0.52","10000","attainable floor","variable"
NA,"V05","0.2522","0 to 0.51","10000","attainable floor","variable"
NA,"V06","0.2488","0 to 0.51","10000","attainable floor","variable"
NA,"V07","0.2485","0 to 0.51","10000","attainable floor","variable"
NA,"V08","0.2436","0 to 0.5","10000","attainable floor","variable"
NA,"V09","0.2499","0 to 0.51","10000","attainable floor","variable"
NA,"Summary","0.017","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
