statistic,rational_statistic,probability,rational_probability
1.0,1,0.11428571428571428,4/35
2.8125,45/16,0.05714285714285714,2/35
2.875,23/8,0.11428571428571428,4/35
3.0625,49/16,0.05714285714285714,2/35
3.25,13/4,0.05714285714285714,2/35
3.4375,55/16,0.11428571428571428,4/35
3.8125,61/16,0.0380952380952381,4/105
4.5,9/2,0.02857142857142857,1/35
5.125,41/8,0.05714285714285714,2/35
5.3125,85/16,0.01904761904761905,2/105
5.625,45/8,0.05714285714285714,2/35
5.6875,91/16,0.0380952380952381,4/105
6.0625,97/16,0.02857142857142857,1/35
6.1875,99/16,0.0380952380952381,4/105
6.4375,103/16,0.0380952380952381,4/105
7.0,7,0.014285714285714285,1/70
7.75,31/4,0.02857142857142857,1/35
7.875,63/8,0.01904761904761905,2/105
9.0,9,0.006349206349206349,2/315
9.25,37/4,0.01904761904761905,2/105
9.5625,153/16,0.03492063492063492,11/315
10.5625,169/16,0.009523809523809525,1/105
11.25,45/4,0.004761904761904762,1/210
13.0,13,0.002380952380952381,1/420
14.0625,225/16,0.0031746031746031746,1/315
18.0,18,0.0007936507936507937,1/1260
