"case","seed","exact","integer_midp","integer_less","integer_ties","keys","reference_inside_displayed_CI","ok","p","CI95","M","note"
"multi-three_by_two-base",42,0.0835896145,0.0854,416,876,1,NA,TRUE,"0.0854","","10000",""
"multi-three_by_two-arms",42,0.0835896145,0.085,422,856,1,NA,TRUE,"0.085","","10000",""
"multi-three_by_two-categories",42,0.0835896145,0.08355,415,841,1,NA,TRUE,"0.08355","","10000",""
"multi-three_by_two-both",42,0.0835896145,0.08475,412,871,1,NA,TRUE,"0.08475","","10000",""
"multi-three_by_two-absent-column",42,0.0835896145,0.08355,415,841,1,NA,TRUE,"0.08355","","10000",""
"multi-three_by_two-zero-column",42,0.0835896145,0.0854,416,876,1,NA,TRUE,"0.0854","","10000",""
"multi-three_by_two-disjoint-names",42,0.0835896145,0.0854,416,876,1,NA,TRUE,"0.0854","","10000",""
"multi-three_by_three-base",42,0.00261224489795918,0.00246,139,214,1,NA,TRUE,"0.00246","","1e+05",""
"multi-three_by_three-arms",42,0.00261224489795918,0.0027,153,234,1,NA,TRUE,"0.0027","","1e+05",""
"multi-three_by_three-categories",42,0.00261224489795918,0.002645,146,237,1,NA,TRUE,"0.002645","","1e+05",""
"multi-three_by_three-both",42,0.00261224489795918,0.00265,148,234,1,NA,TRUE,"0.00265","","1e+05",""
"multi-three_by_three-absent-column",42,0.00261224489795918,0.002645,146,237,1,NA,TRUE,"0.002645","","1e+05",""
"multi-three_by_three-zero-column",42,0.00261224489795918,0.00246,139,214,1,NA,TRUE,"0.00246","","1e+05",""
"multi-three_by_three-disjoint-names",42,0.00261224489795918,0.00246,139,214,1,NA,TRUE,"0.00246","","1e+05",""
"multi-three_equal_arms-base",42,0.0425072886297376,0.03965,149,495,1,NA,TRUE,"0.03965","","10000",""
"multi-three_equal_arms-arms",42,0.0425072886297376,0.03965,149,495,1,NA,TRUE,"0.03965","","10000",""
"multi-three_equal_arms-categories",42,0.0425072886297376,0.04135,173,481,1,NA,TRUE,"0.04135","","10000",""
"multi-three_equal_arms-both",42,0.0425072886297376,0.04135,173,481,1,NA,TRUE,"0.04135","","10000",""
"multi-three_equal_arms-absent-column",42,0.0425072886297376,0.04135,173,481,1,NA,TRUE,"0.04135","","10000",""
"multi-three_equal_arms-zero-column",42,0.0425072886297376,0.03965,149,495,1,NA,TRUE,"0.03965","","10000",""
"multi-three_equal_arms-disjoint-names",42,0.0425072886297376,0.03965,149,495,1,NA,TRUE,"0.03965","","10000",""
"multi-three_larger-base",42,0.000946262373147177,0.00093,51,84,1,TRUE,TRUE,"0.00093","0.00038 to 0.0016","1e+05",""
"multi-three_larger-arms",42,0.000946262373147177,0.00097,50,94,1,TRUE,TRUE,"0.00097","0.00037 to 0.0017","1e+05",""
"multi-three_larger-categories",42,0.000946262373147177,0.000925,50,85,1,TRUE,TRUE,"0.000925","0.00037 to 0.0016","1e+05",""
"multi-three_larger-both",42,0.000946262373147177,0.00099,52,94,1,TRUE,TRUE,"0.00099","0.00039 to 0.0017","1e+05",""
"multi-three_larger-absent-column",42,0.000946262373147177,0.000925,50,85,1,TRUE,TRUE,"0.000925","0.00037 to 0.0016","1e+05",""
"multi-three_larger-zero-column",42,0.000946262373147177,0.00093,51,84,1,TRUE,TRUE,"0.00093","0.00038 to 0.0016","1e+05",""
"multi-three_larger-disjoint-names",42,0.000946262373147177,0.00093,51,84,1,TRUE,TRUE,"0.00093","0.00038 to 0.0016","1e+05",""
