"file","test","passed","failed","errors","skipped","warnings","details"
"test-dispersion.R","the quadrature has converged: 513 points equals 8,193",10,0,0,0,0,""
"test-dispersion.R","it matches an independent integration of the same model",12,0,0,0,0,""
"test-dispersion.R","epsilon recovers a known dispersion multiplier",4,0,0,0,0,""
"test-dispersion.R","honest tables are almost never flagged, tight ones are",2,0,0,0,0,""
"test-dispersion.R","direction is reported the right way round",6,0,0,0,0,""
"test-dispersion.R","numerically identical arms are found, not lost off the grid",3,0,0,0,0,""
"test-dispersion.R","an even `points` cannot silently corrupt the quadrature",4,0,0,0,0,""
"test-dispersion.R","too few statistics is a refusal, not a number",3,0,0,0,0,""
"test-dispersion.R","continuous t-statistics equal the pooled two-sample t",4,0,0,0,0,""
"test-dispersion.R","all pairs of arms are compared",2,0,0,0,0,""
"test-dispersion.R","a two-level category contributes one statistic, not two",4,0,0,0,0,""
"test-dispersion.R","a three-level category keeps every level",2,0,0,0,0,""
"test-dispersion.R","medians are excluded, as the paper requires",1,0,0,0,0,""
"test-dispersion.R","a zero SD is flagged rather than silently patched",2,0,0,0,0,""
"test-dispersion.R","it runs end to end on a validated frame",3,0,0,0,0,""
"test-dispersion.R","the quadrature agrees with nimble running Barnett's model",0,0,0,1,0,"Reason: {nimble} is not installed"
