"file","test","passed","failed","errors","skipped","warnings","details"
"test-text-precision.R","a text cell's trailing zeros are counted before the coercion",5,0,0,0,0,""
"test-text-precision.R","the same table as numbers still infers zero decimals",1,0,0,0,0,""
"test-text-precision.R","a supplied precision still wins over the text",2,0,0,0,0,""
"test-text-precision.R","unreadable text is still refused, not credited with decimals",1,0,0,0,0,""
"test-text-precision.R",".iaValueColumnsAsText writes the declared precision",4,0,0,0,0,""
"test-text-precision.R","the declared precision is a floor, never a ceiling",1,0,0,0,0,""
"test-text-precision.R","blanks stay blank and a non-finite value stays itself",3,0,0,0,0,""
"test-text-precision.R","50.0 survives the workbook: written, re-read, still one decimal",6,0,0,0,0,""
"test-text-precision.R","50.0 survives the API round-trip payload",5,0,0,0,0,""
"test-text-precision.R","the parser's template spreadsheet carries its digits too",2,0,0,0,0,""
"test-text-precision.R","a supplied coarse mean precision is not overwritten",3,0,0,0,0,""
"test-text-precision.R","a median row keeps a supplied coarse precision too",1,0,0,0,0,""
"test-text-precision.R","scientific notation is not read as extra decimal places",9,0,0,0,0,""
"test-text-precision.R","the comma-separated reader keeps the printed digits",7,0,0,0,0,""
"test-text-precision.R","a trial named T is a label, not a logical",1,0,0,0,0,""
"test-text-precision.R","a stray word still leaves its column unreadable, not silently numeric",2,0,0,0,0,""
