"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.3492","0 to 0.71","10000","","variable"
NA,"V02","0.7787","0.68 to 0.87","10000","","variable"
NA,"V03","0.3466","0 to 0.7","10000","","variable"
NA,"V04","0.3509","0 to 0.71","10000","","variable"
NA,"V05","0.355","0 to 0.72","10000","","variable"
NA,"V06","0.3487","0 to 0.71","10000","","variable"
NA,"V07","0.3525","0 to 0.71","10000","","variable"
NA,"V08","0.3505","0 to 0.71","10000","","variable"
NA,"V09","0.3544","0 to 0.72","10000","","variable"
NA,"Summary","0.08355","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
