"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.2542","0 to 0.52","10000","attainable floor","variable"
NA,"V02","0.2538","0 to 0.52","10000","attainable floor","variable"
NA,"V03","0.7536","0.5 to 1","10000","","variable"
NA,"V04","0.256","0 to 0.52","10000","attainable floor","variable"
NA,"V05","0.2533","0 to 0.52","10000","attainable floor","variable"
NA,"V06","0.2564","0 to 0.52","10000","attainable floor","variable"
NA,"V07","0.2481","0 to 0.51","10000","attainable floor","variable"
NA,"V08","0.2538","0 to 0.52","10000","attainable floor","variable"
NA,"V09","0.2458","0 to 0.5","10000","attainable floor","variable"
NA,"Summary","0.01085","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
