"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.2503","0 to 0.5","1e+05","attainable floor","variable"
NA,"V02","0.2495","0 to 0.5","1e+05","attainable floor","variable"
NA,"V03","0.7509","0.5 to 1","1e+05","","variable"
NA,"V04","0.252","0 to 0.51","1e+05","attainable floor","variable"
NA,"V05","0.2511","0 to 0.51","1e+05","attainable floor","variable"
NA,"V06","0.2528","0 to 0.51","1e+05","attainable floor","variable"
NA,"V07","0.2498","0 to 0.5","1e+05","attainable floor","variable"
NA,"V08","0.2505","0 to 0.5","1e+05","attainable floor","variable"
NA,"V09","0.2505","0 to 0.5","1e+05","attainable floor","variable"
NA,"Summary","0.01196","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
