"package","version"
"bslib","0.10.0"
"digest","0.6.39"
"dqrng","0.4.1"
"foreach","1.5.2"
"httr2","1.2.2"
"jpeg","0.1-11"
"jsonlite","2.0.0"
"MBESS","4.9.42"
"officer","0.7.3"
"openxlsx","4.2.8.1"
"pdftools","3.9.0"
"png","0.1-9"
"Rfast","2.1.5.2"
"rhandsontable","0.3.8"
"rvg","0.4.1"
"shiny","1.13.0"
"shinydashboard","0.7.3"
"shinyjs","2.1.1"
"shinyWidgets","0.9.1"
"stats","4.5.3"
"tesseract","5.2.5"
"tools","4.5.3"
"utils","4.5.3"
"xml2","1.5.2"
"zip","2.3.3"
"pkgload","1.5.3"
"testthat","3.3.2"
"plumber","1.3.3"
"base64enc","0.1-6"
"cachem","1.1.0"
"fastmap","1.2.0"
"grDevices","4.5.3"
"htmltools","0.5.9"
"jquerylib","0.1.4"
"lifecycle","1.0.5"
"memoise","2.0.1"
"mime","0.13"
"rlang","1.3.0"
"sass","0.4.10"
"Rcpp","1.1.2"
"BH","1.90.0-1"
"sitmo","2.0.2"
"codetools","0.2-20"
"iterators","1.0.14"
"cli","3.6.6"
"curl","8.0.0"
"glue","1.8.1"
"magrittr","2.0.5"
"openssl","2.4.2"
"R6","2.6.1"
"rappdirs","0.3.4"
"vctrs","0.7.2"
"withr","3.0.3"
"methods","4.5.3"
"boot","1.3-32"
"lavaan","0.6-21"
"MASS","7.3-65"
"mnormt","2.1.2"
"nlme","3.1-168"
"OpenMx","2.22.11"
"parallel","4.5.3"
"sem","3.1-16"
"semTools","0.5-8"
"dplyr","1.2.0"
"graphics","4.5.3"
"ragg","1.5.2"
"tidyr","1.3.2"
"uuid","1.2-2"
"stringi","1.8.9"
"qpdf","1.4.1"
"zigg","0.0.2"
"RcppParallel","5.1.11-2"
"RcppArmadillo","15.2.4-1"
"htmlwidgets","1.6.4"
"gdtools","0.5.0"
"systemfonts","1.3.2"
"commonmark","2.0.0"
"fontawesome","0.5.3"
"httpuv","1.6.17"
"later","1.4.8"
"otel","0.2.0"
"promises","1.5.0"
"sourcetools","0.1.7-2"
"xtable","1.8-8"
"desc","1.4.3"
"fs","2.1.0"
"pkgbuild","1.4.8"
"processx","3.9.0"
"rprojroot","2.1.1"
"brio","1.1.5"
"callr","3.8.0"
"evaluate","1.0.5"
"praise","1.0.0"
"ps","1.9.3"
"waldo","0.6.2"
"crayon","1.5.3"
"sodium","1.4.0"
"swagger","5.32.1"
"webutils","1.2.3"
"askpass","1.2.1"
"stats4","4.5.3"
"pbivnorm","0.6.0"
"numDeriv","2016.8-1.1"
"quadprog","1.5-8"
"lattice","0.22-9"
"Matrix","1.7-4"
"RcppEigen","0.3.4.0.2"
"StanHeaders","2.32.10"
"rpf","1.0.15"
"compiler","4.5.3"
"mi","1.2"
"generics","0.1.4"
"pillar","1.11.1"
"tibble","3.3.1"
"tidyselect","1.2.1"
"textshaping","1.0.5"
"purrr","1.2.1"
"stringr","1.6.0"
"cpp11","0.5.5"
"knitr","1.51"
"rmarkdown","2.31"
"yaml","2.3.12"
"fontquiver","0.2.1"
"grid","4.5.3"
"diffobj","0.3.8"
"sys","3.4.3"
"mvtnorm","1.3-6"
"arm","1.15-2"
"utf8","1.2.6"
"pkgconfig","2.0.3"
"highr","0.12"
"xfun","0.60"
"tinytex","0.60"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"abind","1.4-8"
"coda","0.19-4.1"
"lme4","2.0-1"
"Rdpack","2.6.6"
"minqa","1.2.8"
"nloptr","2.2.1"
"reformulas","0.4.4"
"splines","4.5.3"
"rbibutils","2.4.1"
