statistic,rational_statistic,probability,rational_probability
1.1166666666666667,67/60,0.07792207792207792,6/77
1.9166666666666667,23/12,0.05194805194805195,4/77
2.066666666666667,31/15,0.1038961038961039,8/77
2.1166666666666667,127/60,0.05194805194805195,4/77
2.316666666666667,139/60,0.05194805194805195,4/77
2.8666666666666667,43/15,0.03896103896103896,3/77
3.6666666666666665,11/3,0.09090909090909091,1/11
3.8666666666666667,58/15,0.025974025974025976,2/77
3.9166666666666665,47/12,0.025974025974025976,2/77
4.2,21/5,0.025974025974025976,2/77
4.516666666666667,271/60,0.025974025974025976,2/77
4.65,93/20,0.017316017316017316,4/231
4.666666666666667,14/3,0.03463203463203463,8/231
4.916666666666667,59/12,0.06926406926406926,16/231
5.25,21/4,0.030303030303030304,1/33
5.266666666666667,79/15,0.012987012987012988,1/77
5.316666666666666,319/60,0.017316017316017316,4/231
6.0,6,0.008658008658008658,2/231
6.066666666666666,91/15,0.012987012987012988,1/77
6.516666666666667,391/60,0.008658008658008658,2/231
6.6,33/5,0.01948051948051948,3/154
6.666666666666667,20/3,0.03463203463203463,8/231
6.916666666666667,83/12,0.012987012987012988,1/77
7.2,36/5,0.006493506493506494,1/154
7.316666666666666,439/60,0.008658008658008658,2/231
7.516666666666667,451/60,0.004329004329004329,1/231
7.65,153/20,0.005772005772005772,4/693
7.666666666666667,23/3,0.01948051948051948,3/154
7.916666666666667,95/12,0.004329004329004329,1/231
8.25,33/4,0.025974025974025976,2/77
8.266666666666667,124/15,0.006493506493506494,1/154
8.4,42/5,0.005772005772005772,4/693
8.666666666666666,26/3,0.004329004329004329,1/231
8.85,177/20,0.004329004329004329,1/231
8.916666666666666,107/12,0.008658008658008658,2/231
9.0,9,0.01341991341991342,31/2310
9.45,189/20,0.002886002886002886,2/693
9.866666666666667,148/15,0.0021645021645021645,1/462
9.916666666666666,119/12,0.0017316017316017316,2/1155
10.65,213/20,0.002886002886002886,2/693
10.8,54/5,0.001443001443001443,1/693
10.916666666666666,131/12,0.004329004329004329,1/231
11.466666666666667,172/15,0.0010822510822510823,1/924
11.666666666666666,35/3,0.0012987012987012987,1/770
12.0,12,0.008658008658008658,2/231
12.266666666666667,184/15,0.0010822510822510823,1/924
14.25,57/4,0.0017316017316017316,2/1155
14.4,72/5,0.0007215007215007215,1/1386
14.666666666666666,44/3,0.0010822510822510823,1/924
18.666666666666668,56/3,0.00021645021645021645,1/4620
