"TRIAL","ROW","N","MEAN","SD","YES","NO"
"T","V001",NA,NA,NA,0,2
"T","V001",NA,NA,NA,2,0
"T","V002",NA,NA,NA,0,2
"T","V002",NA,NA,NA,2,0
"T","V003",NA,NA,NA,0,2
"T","V003",NA,NA,NA,2,0
"T","V004",NA,NA,NA,0,2
"T","V004",NA,NA,NA,2,0
"T","V005",NA,NA,NA,0,2
"T","V005",NA,NA,NA,2,0
"T","V006",NA,NA,NA,0,2
"T","V006",NA,NA,NA,2,0
"T","V007",NA,NA,NA,0,2
"T","V007",NA,NA,NA,2,0
"T","V008",NA,NA,NA,0,2
"T","V008",NA,NA,NA,2,0
"T","V009",NA,NA,NA,0,2
"T","V009",NA,NA,NA,2,0
"T","V010",NA,NA,NA,0,2
"T","V010",NA,NA,NA,2,0
"T","V011",NA,NA,NA,0,2
"T","V011",NA,NA,NA,2,0
"T","V012",NA,NA,NA,0,2
"T","V012",NA,NA,NA,2,0
"T","V013",NA,NA,NA,0,2
"T","V013",NA,NA,NA,2,0
"T","V014",NA,NA,NA,0,2
"T","V014",NA,NA,NA,2,0
"T","V015",NA,NA,NA,0,2
"T","V015",NA,NA,NA,2,0
"T","V016",NA,NA,NA,0,2
"T","V016",NA,NA,NA,2,0
"T","V017",NA,NA,NA,0,2
"T","V017",NA,NA,NA,2,0
"T","V018",NA,NA,NA,0,2
"T","V018",NA,NA,NA,2,0
"T","V019",NA,NA,NA,0,2
"T","V019",NA,NA,NA,2,0
"T","V020",NA,NA,NA,0,2
"T","V020",NA,NA,NA,2,0
"T","V021",NA,NA,NA,0,2
"T","V021",NA,NA,NA,2,0
"T","V022",NA,NA,NA,0,2
"T","V022",NA,NA,NA,2,0
"T","V023",NA,NA,NA,0,2
"T","V023",NA,NA,NA,2,0
"T","V024",NA,NA,NA,0,2
"T","V024",NA,NA,NA,2,0
"T","V025",NA,NA,NA,0,2
"T","V025",NA,NA,NA,2,0
"T","V026",NA,NA,NA,0,2
"T","V026",NA,NA,NA,2,0
"T","V027",NA,NA,NA,0,2
"T","V027",NA,NA,NA,2,0
"T","V028",NA,NA,NA,0,2
"T","V028",NA,NA,NA,2,0
"T","V029",NA,NA,NA,0,2
"T","V029",NA,NA,NA,2,0
"T","V030",NA,NA,NA,0,2
"T","V030",NA,NA,NA,2,0
"T","V031",NA,NA,NA,0,2
"T","V031",NA,NA,NA,2,0
"T","V032",NA,NA,NA,0,2
"T","V032",NA,NA,NA,2,0
"T","V033",NA,NA,NA,0,2
"T","V033",NA,NA,NA,2,0
"T","V034",NA,NA,NA,0,2
"T","V034",NA,NA,NA,2,0
"T","V035",NA,NA,NA,0,2
"T","V035",NA,NA,NA,2,0
"T","V036",NA,NA,NA,0,2
"T","V036",NA,NA,NA,2,0
"T","V037",NA,NA,NA,0,2
"T","V037",NA,NA,NA,2,0
"T","V038",NA,NA,NA,0,2
"T","V038",NA,NA,NA,2,0
"T","V039",NA,NA,NA,0,2
"T","V039",NA,NA,NA,2,0
"T","V040",NA,NA,NA,0,2
"T","V040",NA,NA,NA,2,0
"T","V041",NA,NA,NA,0,2
"T","V041",NA,NA,NA,2,0
"T","V042",NA,NA,NA,0,2
"T","V042",NA,NA,NA,2,0
"T","V043",NA,NA,NA,0,2
"T","V043",NA,NA,NA,2,0
"T","V044",NA,NA,NA,0,2
"T","V044",NA,NA,NA,2,0
"T","V045",NA,NA,NA,0,2
"T","V045",NA,NA,NA,2,0
"T","V046",NA,NA,NA,0,2
"T","V046",NA,NA,NA,2,0
"T","V047",NA,NA,NA,0,2
"T","V047",NA,NA,NA,2,0
"T","V048",NA,NA,NA,0,2
"T","V048",NA,NA,NA,2,0
"T","V049",NA,NA,NA,0,2
"T","V049",NA,NA,NA,2,0
"T","V050",NA,NA,NA,0,2
"T","V050",NA,NA,NA,2,0
"T","V051",NA,NA,NA,0,2
"T","V051",NA,NA,NA,2,0
"T","V052",NA,NA,NA,0,2
"T","V052",NA,NA,NA,2,0
"T","V053",NA,NA,NA,0,2
"T","V053",NA,NA,NA,2,0
"T","V054",NA,NA,NA,0,2
"T","V054",NA,NA,NA,2,0
"T","V055",NA,NA,NA,0,2
"T","V055",NA,NA,NA,2,0
"T","V056",NA,NA,NA,0,2
"T","V056",NA,NA,NA,2,0
"T","V057",NA,NA,NA,0,2
"T","V057",NA,NA,NA,2,0
"T","V058",NA,NA,NA,0,2
"T","V058",NA,NA,NA,2,0
"T","V059",NA,NA,NA,0,2
"T","V059",NA,NA,NA,2,0
"T","V060",NA,NA,NA,0,2
"T","V060",NA,NA,NA,2,0
"T","V061",NA,NA,NA,0,2
"T","V061",NA,NA,NA,2,0
"T","V062",NA,NA,NA,0,2
"T","V062",NA,NA,NA,2,0
"T","V063",NA,NA,NA,0,2
"T","V063",NA,NA,NA,2,0
"T","V064",NA,NA,NA,0,2
"T","V064",NA,NA,NA,2,0
"T","V065",NA,NA,NA,0,2
"T","V065",NA,NA,NA,2,0
"T","V066",NA,NA,NA,0,2
"T","V066",NA,NA,NA,2,0
"T","V067",NA,NA,NA,0,2
"T","V067",NA,NA,NA,2,0
"T","V068",NA,NA,NA,0,2
"T","V068",NA,NA,NA,2,0
"T","V069",NA,NA,NA,0,2
"T","V069",NA,NA,NA,2,0
"T","V070",NA,NA,NA,0,2
"T","V070",NA,NA,NA,2,0
