"TRIAL","ROW","N","MEAN","SD","ROUND_MEAN","ROUND_DISPERSION","ROUND_OBSERVATION"
"T","V01",30,0,2,0,1,0
"T","V01",30,0,2,0,1,0
"T","V02",30,0,2,0,1,0
"T","V02",30,0,2,0,1,0
"T","V03",30,-1,2,0,1,0
"T","V03",30,1,2,0,1,0
"T","V04",30,0,2,0,1,0
"T","V04",30,0,2,0,1,0
"T","V05",30,0,2,0,1,0
"T","V05",30,0,2,0,1,0
"T","V06",30,0,2,0,1,0
"T","V06",30,0,2,0,1,0
"T","V07",30,0,2,0,1,0
"T","V07",30,0,2,0,1,0
"T","V08",30,0,2,0,1,0
"T","V08",30,0,2,0,1,0
"T","V09",30,0,2,0,1,0
"T","V09",30,0,2,0,1,0
"T","V10",30,0,2,0,1,0
"T","V10",30,0,2,0,1,0
"T","V11",30,0,2,0,1,0
"T","V11",30,0,2,0,1,0
"T","V12",30,0,2,0,1,0
"T","V12",30,0,2,0,1,0
"T","V13",30,0,2,0,1,0
"T","V13",30,0,2,0,1,0
"T","V14",30,0,2,0,1,0
"T","V14",30,0,2,0,1,0
