"TRIAL","ROW","N","MEAN","SD","ROUND_MEAN","ROUND_DISPERSION","ROUND_OBSERVATION","Q1","Q3"
"T","V01",9,0,NA,0,1,0,-1,1
"T","V01",9,0,NA,0,1,0,-1,1
"T","V02",9,0,NA,0,1,0,-1,1
"T","V02",9,0,NA,0,1,0,-1,1
"T","V03",9,-1,NA,0,1,0,-1,1
"T","V03",9,1,NA,0,1,0,-1,1
"T","V04",9,0,NA,0,1,0,-1,1
"T","V04",9,0,NA,0,1,0,-1,1
"T","V05",9,0,NA,0,1,0,-1,1
"T","V05",9,0,NA,0,1,0,-1,1
"T","V06",9,0,NA,0,1,0,-1,1
"T","V06",9,0,NA,0,1,0,-1,1
"T","V07",9,0,NA,0,1,0,-1,1
"T","V07",9,0,NA,0,1,0,-1,1
"T","V08",9,0,NA,0,1,0,-1,1
"T","V08",9,0,NA,0,1,0,-1,1
"T","V09",9,0,NA,0,1,0,-1,1
"T","V09",9,0,NA,0,1,0,-1,1
"T","V10",9,0,NA,0,1,0,-1,1
"T","V10",9,0,NA,0,1,0,-1,1
"T","V11",9,0,NA,0,1,0,-1,1
"T","V11",9,0,NA,0,1,0,-1,1
"T","V12",9,0,NA,0,1,0,-1,1
"T","V12",9,0,NA,0,1,0,-1,1
"T","V13",9,0,NA,0,1,0,-1,1
"T","V13",9,0,NA,0,1,0,-1,1
"T","V14",9,0,NA,0,1,0,-1,1
"T","V14",9,0,NA,0,1,0,-1,1
