"case","seed","ceiling","actual_M","p","CI95","reference","reference_inside_reported_CI"
"two_equal",42,1e+05,1000,"0.3375","0 to 0.7",0.333333333333333,TRUE
"two_unequal",42,1e+05,1000,"0.2775","0 to 0.59",0.2625,TRUE
"three_tie",42,1e+05,1000,"0.346","0 to 0.72",0.35,TRUE
"three_off",42,1e+05,1000,"0.4885","0.38 to 0.6",0.494949494949495,TRUE
"four_arms",42,1e+05,1000,"0.214","0.088 to 0.35",0.215784215784216,TRUE
"two_by_three",42,1e+05,1000,"0.346","0 to 0.72",0.35,TRUE
"F-small",42,1e+05,1000,"0.181","0.16 to 0.21",0.181450930224644,TRUE
"F-unequal",42,1e+05,10000,"0.0136","0.011 to 0.016",0.016798393504558,FALSE
"F-direct",42,1e+05,1e+05,"0.004645","0.0042 to 0.0051",0.00475230532372977,TRUE
"F-three",42,1e+05,1e+05,"0.004","0.0036 to 0.0044",0.00399142054543921,TRUE
"combination-5-0",42,1e+05,10000,"0.06425","",0.0658436213991769,NA
"combination-5-1",42,1e+05,1000,"0.278","",0.296296296296296,NA
"combination-15-0",42,1e+05,1e+05,"0.001225","",0.00114182913026058,NA
"combination-15-1",42,1e+05,10000,"0.0105","",0.0108473767374755,NA
"combination-16-0",42,1e+05,1e+05,"0.00082","0 to 0.0019",0.000761219420173722,TRUE
"combination-16-1",42,1e+05,1e+05,"0.007695","",0.00761219420173722,NA
