"file","passed","failed","errors","skipped","warnings"
"test-adaptive-m.R",31,0,0,0,0
"test-api-flags.R",14,0,0,0,0
"test-api-service.R",241,0,0,0,0
"test-api-structural-issues.R",19,0,0,0,0
"test-app-pipeline.R",41,0,0,0,0
"test-audit-2026-09-09-f6.R",29,0,0,0,0
"test-audit-2026-09-10-f1.R",15,0,0,0,0
"test-audit-2026-09-10-f3.R",46,0,0,0,0
"test-audit-2026-09-10-f4.R",19,0,0,0,0
"test-audit-2026-09-10-full-f1.R",14,0,0,0,0
"test-audit-2026-09-10-full-f2.R",21,0,0,0,0
"test-audit-2026-09-11-f1.R",33,0,0,0,0
"test-audit-2026-09-11-full-f1.R",41,0,0,0,0
"test-audit-2026-09-11-full-f2.R",30,0,0,0,0
"test-degenerate-categories.R",3,0,0,0,0
"test-dispersion.R",62,0,0,1,0
"test-failsafe-table.R",39,0,0,2,0
"test-input-contract.R",33,0,0,0,0
"test-known-answer.R",10,0,0,0,0
"test-median-iqr.R",24,0,0,0,0
"test-numeric-resolution.R",21,0,0,0,0
"test-pcalc-direct.R",8,0,0,0,0
"test-quartile-draw.R",16,0,0,0,0
"test-quartile-precision.R",11,0,0,0,0
"test-results-workbook.R",23,0,0,0,0
"test-screen-2026-09-08.R",38,0,0,0,0
"test-screen-2026-09-09-1532.R",172,0,0,0,0
"test-screen-2026-09-09.R",518,0,0,0,0
"test-screen-2026-09-10-0536.R",21,0,0,0,0
"test-screen-2026-09-10-0633.R",16,0,0,0,0
"test-screen-2026-09-10-0734.R",24,0,0,0,0
"test-screen-2026-09-10-0815.R",24,0,0,0,0
"test-screen-2026-09-10-0858.R",12,0,0,0,0
"test-screen-2026-09-10-0923.R",14,0,0,0,0
"test-screen-2026-09-10-1119.R",18,0,0,0,0
"test-screen-2026-09-10-1143.R",19,0,0,0,0
"test-screen-2026-09-10-1222.R",13,0,0,0,0
"test-screen-2026-09-10-1523.R",22,0,0,0,0
"test-screen-2026-09-10-2100-f3.R",12,0,0,0,0
"test-screen-2026-09-10-2100-raw.R",13,0,0,0,3
"test-screen-2026-09-10-2149.R",15,0,0,0,0
"test-sd-interval-cells.R",9,0,0,0,0
"test-sd-rounding-draw.R",21,0,0,0,0
"test-security-2026-09-10-s1.R",9,0,0,0,0
"test-security-2026-09-10-s2.R",16,0,0,0,0
"test-seed-and-ranges.R",44,0,0,0,0
"test-summary-kind.R",11,0,0,0,0
"test-text-precision.R",53,0,0,0,0
"test-tie-criterion.R",12,0,0,0,0
"test-validate-rounding.R",9,0,0,0,0
