"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.2522","0 to 0.51","1e+05","attainable floor","variable"
NA,"V02","0.2516","0 to 0.51","1e+05","attainable floor","variable"
NA,"V03","0.7501","0.5 to 1","1e+05","","variable"
NA,"V04","0.2504","0 to 0.5","1e+05","attainable floor","variable"
NA,"V05","0.2517","0 to 0.51","1e+05","attainable floor","variable"
NA,"V06","0.251","0 to 0.51","1e+05","attainable floor","variable"
NA,"V07","0.2512","0 to 0.51","1e+05","attainable floor","variable"
NA,"V08","0.2508","0 to 0.5","1e+05","attainable floor","variable"
NA,"V09","0.251","0 to 0.51","1e+05","attainable floor","variable"
NA,"Summary","0.01133","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
