"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.3032","0 to 0.62","10000","attainable floor","variable"
NA,"V02","0.3046","0 to 0.62","10000","attainable floor","variable"
NA,"V03","0.9944","0.99 to 1","10000","","variable"
NA,"V04","0.3069","0 to 0.62","10000","attainable floor","variable"
NA,"V05","0.3076","0 to 0.62","10000","attainable floor","variable"
NA,"V06","0.3069","0 to 0.62","10000","attainable floor","variable"
NA,"V07","0.3081","0 to 0.63","10000","attainable floor","variable"
NA,"V08","0.3111","0 to 0.63","10000","attainable floor","variable"
NA,"V09","0.3112","0 to 0.63","10000","attainable floor","variable"
NA,"V10","0.3055","0 to 0.62","10000","attainable floor","variable"
NA,"V11","0.3046","0 to 0.62","10000","attainable floor","variable"
NA,"V12","0.308","0 to 0.63","10000","attainable floor","variable"
NA,"V13","0.3048","0 to 0.62","10000","attainable floor","variable"
NA,"V14","0.3004","0 to 0.61","10000","attainable floor","variable"
NA,"Summary","0.045","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
