"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.3","0 to 0.63","1000","attainable floor","variable"
NA,"V02","0.29","0 to 0.61","1000","attainable floor","variable"
NA,"V03","0.986","0.96 to 1","1000","","variable"
NA,"V04","0.2935","0 to 0.62","1000","attainable floor","variable"
NA,"V05","0.283","0 to 0.6","1000","attainable floor","variable"
NA,"V06","0.279","0 to 0.59","1000","attainable floor","variable"
NA,"V07","0.288","0 to 0.61","1000","attainable floor","variable"
NA,"V08","0.2885","0 to 0.61","1000","attainable floor","variable"
NA,"V09","0.2945","0 to 0.62","1000","attainable floor","variable"
NA,"Summary","0.194","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
