"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.1843","0 to 0.37","1e+05","attainable floor","variable"
NA,"V02","0.1825","0 to 0.37","1e+05","attainable floor","variable"
NA,"V03","0.8772","0.81 to 0.95","1e+05","","variable"
NA,"V04","0.1838","0 to 0.37","1e+05","attainable floor","variable"
NA,"V05","0.1825","0 to 0.37","1e+05","attainable floor","variable"
NA,"V06","0.1833","0 to 0.37","1e+05","attainable floor","variable"
NA,"V07","0.1833","0 to 0.37","1e+05","attainable floor","variable"
NA,"V08","0.1839","0 to 0.37","1e+05","attainable floor","variable"
NA,"V09","0.1838","0 to 0.37","1e+05","attainable floor","variable"
NA,"V10","0.1834","0 to 0.37","1e+05","attainable floor","variable"
NA,"V11","0.1845","0 to 0.37","1e+05","attainable floor","variable"
NA,"V12","0.1823","0 to 0.37","1e+05","attainable floor","variable"
NA,"V13","0.1842","0 to 0.37","1e+05","attainable floor","variable"
NA,"V14","0.1829","0 to 0.37","1e+05","attainable floor","variable"
NA,"Summary","<0.0001","0 to 3.7e-05",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
