"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.1842","0 to 0.37","1e+05","attainable floor","variable"
NA,"V02","0.1844","0 to 0.37","1e+05","attainable floor","variable"
NA,"V03","0.8784","0.81 to 0.95","1e+05","","variable"
NA,"V04","0.1839","0 to 0.37","1e+05","attainable floor","variable"
NA,"V05","0.1844","0 to 0.37","1e+05","attainable floor","variable"
NA,"V06","0.1837","0 to 0.37","1e+05","attainable floor","variable"
NA,"V07","0.1841","0 to 0.37","1e+05","attainable floor","variable"
NA,"V08","0.1844","0 to 0.37","1e+05","attainable floor","variable"
NA,"V09","0.1828","0 to 0.37","1e+05","attainable floor","variable"
NA,"Summary","0.002005","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
