"true_p","coverage","expected_total_generated"
1e-04,0.975393451143698,111000
0.001,0.954789056801905,111000
0.009,0.937365417545896,95283.3703741723
0.0095,0.943283971386454,79334.8755227996
0.01,0.954160750167867,59650.0728283245
0.0105,0.961334146454138,40868.7994241875
0.011,0.970398109654101,26690.0178421545
0.095,0.94712724914125,7901.91970973789
0.1,0.954156241455635,5845.8229043408
0.105,0.961831363572398,3883.96227431782
0.11,0.972101578827569,2438.43725055065
0.5,0.953708802639502,1000
