kind,J,B,seed,p0,p1,p2,cost_ratio,max_unit_differences,reference_p,simultaneous95_lower,simultaneous95_upper,ratio_bound_lower,ratio_bound_upper
continuous,5,2000000,9173,0.2477895,0.406222,0.227725,1.8284506497007247,1,0.010737518107612077,0.010514699195748396,0.010964086992038099,1.8052831194965855,1.8519806748337788
continuous,6,2000000,9173,0.2477895,0.406222,0.227725,1.8284506497007247,1,0.0031464788056039844,0.0030676331795352735,0.0032270023684808653,1.8052831194965855,1.8519806748337788
continuous,7,2000000,9173,0.2477895,0.406222,0.227725,1.8284506497007247,1,0.0009000491133203117,0.0008736319805291479,0.0009271469018068179,1.8052831194965855,1.8519806748337788
continuous,8,2000000,9173,0.2477895,0.406222,0.227725,1.8284506497007247,1,0.00025285278520817227,0.00024435007806361135,0.00026161293940865887,1.8052831194965855,1.8519806748337788
continuous,9,2000000,9173,0.2477895,0.406222,0.227725,1.8284506497007247,1,7.004584222145069e-05,6.739204823249277e-05,7.279203169197325e-05,1.8052831194965855,1.8519806748337788
continuous,14,2000000,9173,0.2477895,0.406222,0.227725,1.8284506497007247,1,9.995704352048345e-08,9.406774225093553e-08,1.0618705831307438e-07,1.8052831194965855,1.8519806748337788
direct,5,2000000,9173,0.2700645,0.42947,0.2154525,1.8508218475993425,1,0.015724655907123304,0.015422731016440316,0.016031280459400627,1.827721861161251,1.8742889120324357
direct,6,2000000,9173,0.2700645,0.42947,0.2154525,1.8508218475993425,1,0.005018410377586028,0.004902183077603865,0.005136921446565919,1.827721861161251,1.8742889120324357
direct,7,2000000,9173,0.2700645,0.42947,0.2154525,1.8508218475993425,1,0.00156371380802213,0.001521325763157177,0.0016071089846347465,1.827721861161251,1.8742889120324357
direct,8,2000000,9173,0.2700645,0.42947,0.2154525,1.8508218475993425,1,0.0004785902467758706,0.0004637344241152163,0.0004938604559325867,1.827721861161251,1.8742889120324357
direct,9,2000000,9173,0.2700645,0.42947,0.2154525,1.8508218475993425,1,0.00014445126413861715,0.00013940124809094112,0.0001496631296145532,1.827721861161251,1.8742889120324357
direct,14,2000000,9173,0.2700645,0.42947,0.2154525,1.8508218475993425,1,3.1670886738744415e-07,2.995015466025712e-07,3.34830169156573e-07,1.827721861161251,1.8742889120324357
median,5,2000000,9173,0.3665985,0.444475,0.1341525,1.8348615731056144,1,0.052819318056963854,0.05202566934267475,0.05362262137154571,1.8110374610633673,1.8591334524142729
median,6,2000000,9173,0.3665985,0.444475,0.1341525,1.8348615731056144,1,0.022750696245988935,0.022341883563726416,0.02316572296586499,1.8110374610633673,1.8591334524142729
median,7,2000000,9173,0.3665985,0.444475,0.1341525,1.8348615731056144,1,0.009582118496953734,0.009381824536337215,0.009786066224394617,1.8110374610633673,1.8591334524142729
median,8,2000000,9173,0.3665985,0.444475,0.1341525,1.8348615731056144,1,0.003968012994405948,0.0038734668266093815,0.00406457216227171,1.8110374610633673,1.8591334524142729
median,9,2000000,9173,0.3665985,0.444475,0.1341525,1.8348615731056144,1,0.0016215515804673662,0.0015781879494830226,0.0016659710400973747,1.8110374610633673,1.8591334524142729
median,14,2000000,9173,0.3665985,0.444475,0.1341525,1.8348615731056144,1,1.626210375365094e-05,1.5592378305406707e-05,1.6958458496328465e-05,1.8110374610633673,1.8591334524142729
