"case","kind","J","seed","keys","same_seed_null_draws_identical","reference_strict","reference_ties","reference_midp","reference_count_CI_lower","reference_count_CI_upper","observed_pattern_ties","engine_strict","engine_ties","ok","p","CI95","M","note"
"symmetric-refined-continuous-J5-s42","continuous",5,42,2,TRUE,820,417,0.010285,0.00765035875469145,0.0130743898647412,417,820,75,TRUE,"0.008575","","1e+05",""
"symmetric-refined-direct-J5-s42","direct",5,42,2,TRUE,126,56,0.0154,0.0105066941491912,0.0210147586385522,56,169,13,TRUE,"0.01755","","10000",""
"symmetric-refined-continuous-J7-s42","continuous",7,42,2,TRUE,83,37,0.001015,0.000661142907799843,0.00143473728384984,37,83,6,TRUE,"0.00086","0.00066 to 0.0011","1e+05",""
"symmetric-refined-direct-J7-s42","direct",7,42,2,TRUE,134,59,0.001635,0.00112284893017378,0.00222201111669304,59,185,8,TRUE,"0.00189","","1e+05",""
"symmetric-refined-median-J6-s42","median",6,42,2,TRUE,184,62,0.0215,0.0158569298269495,0.0278280631319728,62,184,9,TRUE,"0.01885","","10000",""
"symmetric-refined-median-J7-s42","median",7,42,2,TRUE,863,219,0.009725,0.0080660014026631,0.011480597847184,219,863,36,TRUE,"0.00881","","1e+05",""
"symmetric-refined-median-J8-s42","median",8,42,2,TRUE,332,86,0.00375,0.00297294352857298,0.0045996122373683,86,412,6,TRUE,"0.00415","","1e+05",""
"symmetric-refined-median-J9-s42","median",9,42,2,TRUE,151,52,0.00177,0.00127890387692075,0.00232893805609539,52,196,7,TRUE,"0.001995","","1e+05",""
"symmetric-refined-median-J6-s43","median",6,43,2,TRUE,204,50,0.0229,0.017719673941711,0.0286754466208599,50,250,4,TRUE,"0.0252","","10000",""
"symmetric-refined-median-J7-s43","median",7,43,2,TRUE,875,215,0.009825,0.00818206052442536,0.0115629346496831,215,1059,31,TRUE,"0.01074","","1e+05",""
"symmetric-refined-median-J8-s43","median",8,43,2,TRUE,354,104,0.00406,0.00318135186415028,0.00501819452198127,104,441,17,TRUE,"0.004495","","1e+05",""
"symmetric-refined-median-J9-s43","median",9,43,2,TRUE,153,48,0.00177,0.00129731634312015,0.00230756659131851,48,200,1,TRUE,"0.002005","","1e+05",""
