"case","seed","J","transpose","exact","ok","p","CI95","M","note"
"transpose-J9-none-s42",42,9,"none",0.0111459494027611,TRUE,"0.01133","","1e+05",""
"transpose-J9-none-s43",43,9,"none",0.0111459494027611,TRUE,"0.01085","","10000",""
"transpose-J9-none-s44",44,9,"none",0.0111459494027611,TRUE,"0.01105","","1e+05",""
"transpose-J9-extreme-s42",42,9,"extreme",0.0111459494027611,TRUE,"0.01133","","1e+05",""
"transpose-J9-extreme-s43",43,9,"extreme",0.0111459494027611,TRUE,"0.01085","","10000",""
"transpose-J9-extreme-s44",44,9,"extreme",0.0111459494027611,TRUE,"0.01105","","1e+05",""
"transpose-J9-ordinary-s42",42,9,"ordinary",0.0111459494027611,TRUE,"0.01133","","1e+05",""
"transpose-J9-ordinary-s43",43,9,"ordinary",0.0111459494027611,TRUE,"0.01085","","10000",""
"transpose-J9-ordinary-s44",44,9,"ordinary",0.0111459494027611,TRUE,"0.01105","","1e+05",""
"transpose-J9-all-s42",42,9,"all",0.0111459494027611,TRUE,"0.01133","","1e+05",""
"transpose-J9-all-s43",43,9,"all",0.0111459494027611,TRUE,"0.01085","","10000",""
"transpose-J9-all-s44",44,9,"all",0.0111459494027611,TRUE,"0.01105","","1e+05",""
"transpose-J14-none-s42",42,14,"none",0.000519194541113967,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"transpose-J14-none-s43",43,14,"none",0.000519194541113967,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"transpose-J14-none-s44",44,14,"none",0.000519194541113967,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"transpose-J14-extreme-s42",42,14,"extreme",0.000519194541113967,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"transpose-J14-extreme-s43",43,14,"extreme",0.000519194541113967,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"transpose-J14-extreme-s44",44,14,"extreme",0.000519194541113967,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"transpose-J14-ordinary-s42",42,14,"ordinary",0.000519194541113967,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"transpose-J14-ordinary-s43",43,14,"ordinary",0.000519194541113967,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"transpose-J14-ordinary-s44",44,14,"ordinary",0.000519194541113967,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"transpose-J14-all-s42",42,14,"all",0.000519194541113967,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"transpose-J14-all-s43",43,14,"all",0.000519194541113967,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"transpose-J14-all-s44",44,14,"all",0.000519194541113967,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
