"case","id_length","delta","read_trials","analyzed_trials","overallP","summary_p","displayed_CI","actual_M","flags"
"trial-id-199-delta-0",199,0,2,2,0.0002941,"0.007565;0.00752","0 to 0.016;0 to 0.016","1e+05",""
"trial-id-199-delta-0.1",199,0.1,2,2,0.003688,"0.02855;0.0296","0.012 to 0.048;0.013 to 0.049","10000",""
"trial-id-199-delta-0.2",199,0.2,2,2,0.01376,"0.05785;0.0613","0.037 to 0.08;0.041 to 0.083","10000",""
"trial-id-199-delta-0.5",199,0.5,2,2,0.07139,"0.1405;0.16","0.11 to 0.18;0.12 to 0.2","1000",""
"trial-id-200-delta-0",200,0,2,2,0.0002941,"0.007565;0.00752","0 to 0.016;0 to 0.016","1e+05",""
"trial-id-200-delta-0.1",200,0.1,2,2,0.003688,"0.02855;0.0296","0.012 to 0.048;0.013 to 0.049","10000",""
"trial-id-200-delta-0.2",200,0.2,2,2,0.01376,"0.05785;0.0613","0.037 to 0.08;0.041 to 0.083","10000",""
"trial-id-200-delta-0.5",200,0.5,2,2,0.07139,"0.1405;0.16","0.11 to 0.18;0.12 to 0.2","1000",""
"trial-id-201-delta-0",201,0,2,2,0.0002941,"0.007565;0.00752","0 to 0.016;0 to 0.016","1e+05",""
"trial-id-201-delta-0.1",201,0.1,2,2,0.003688,"0.02855;0.0296","0.012 to 0.048;0.013 to 0.049","10000",""
"trial-id-201-delta-0.2",201,0.2,2,2,0.01376,"0.05785;0.0613","0.037 to 0.08;0.041 to 0.083","10000",""
"trial-id-201-delta-0.5",201,0.5,2,2,0.07139,"0.1405;0.16","0.11 to 0.18;0.12 to 0.2","1000",""
"trial-id-240-delta-0",240,0,2,2,0.0002941,"0.007565;0.00752","0 to 0.016;0 to 0.016","1e+05",""
"trial-id-240-delta-0.1",240,0.1,2,2,0.003688,"0.02855;0.0296","0.012 to 0.048;0.013 to 0.049","10000",""
"trial-id-240-delta-0.2",240,0.2,2,2,0.01376,"0.05785;0.0613","0.037 to 0.08;0.041 to 0.083","10000",""
"trial-id-240-delta-0.5",240,0.5,2,2,0.07139,"0.1405;0.16","0.11 to 0.18;0.12 to 0.2","1000",""
